X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1603.48, -125.763, 94.3833, -1.79312, -1.41248, 1.38026, image00001.jpg, 133.810528, 351658, 174.937500, -2.562500, -3.875000
1603.49, -125.786, 94.3782, -1.79172, -1.40797, 1.33715, image00002.jpg, 236.192128, 351671, 174.937500, -2.562500, -3.875000
1603.48, -125.784, 94.3801, -1.79524, -1.41572, 1.35763, image00003.jpg, 367.642016, 351685, 174.937500, -2.625000, -3.937500
1603.7, -125.333, 94.2768, -1.86932, -1.34974, 1.37759, image00004.jpg, 498.091968, 351698, 174.937500, -2.625000, -4.000000
1603.87, -110.771, 94.3105, -2.05836, -1.58873, 1.31437, image00005.jpg, 628.442880, 351711, 175.187500, -2.812500, -3.937500
1604.05, -87.7489, 94.2532, -2.12015, -1.56416, 1.2831, image00006.jpg, 759.847072, 351724, 175.250000, -2.812500, -3.875000
1604.43, -60.3421, 93.6185, -1.87429, -1.58319, 1.72976, image00007.jpg, 890.981632, 351737, 175.187500, -2.812500, -3.937500
1604.33, -37.6361, 93.6857, -1.79772, -1.6501, 1.62973, image00008.jpg, 992.014432, 351747, 175.062500, -2.875000, -3.875000
1604.75, -6.99665, 94.0291, -1.7458, -1.36674, 1.64519, image00009.jpg, 1122.658880, 351760, 174.875000, -2.812500, -3.937500
1604.93, 24.2533, 93.7584, -1.52031, -1.59336, 1.60441, image00010.jpg, 1252.206400, 351771, 174.687500, -2.937500, -3.875000
1604.68, 54.5452, 93.9077, -1.57952, -1.37037, 1.74923, image00011.jpg, 1381.298944, 351781, 174.687500, -2.875000, -3.937500
1604.76, 83.7098, 93.6649, -1.59534, -1.25173, 1.53399, image00012.jpg, 1511.136960, 351790, 174.687500, -2.687500, -4.000000
1604.92, 124.372, 93.2707, -1.43859, -1.48321, 1.60464, image00013.jpg, 1639.666688, 351802, 174.500000, -2.750000, -3.937500
1604.47, 194.601, 93.4199, -1.23197, -1.3486, 1.56015, image00014.jpg, 1770.625344, 351822, 174.375000, -2.812500, -4.000000
1606.44, 231.208, 94.9232, -1.39853, 0.147982, -2.05916, image00015.jpg, 1900.658272, 351832, 174.250000, -2.562500, -3.937500
1606.37, 269.949, 95.3072, -1.75401, 0.78978, -1.76074, image00016.jpg, 2031.055392, 351843, 174.250000, -2.562500, -3.937500
1605.81, 322.514, 95.2211, -1.3459, 0.570945, -1.60711, image00017.jpg, 2161.873472, 351858, 174.187500, -2.625000, -4.000000
1604.28, 375.818, 94.9624, -1.41341, -0.210023, -1.5654, image00018.jpg, 2291.756352, 351873, 173.937500, -2.687500, -4.000000
1603.96, 414.747, 95.0224, -1.16605, 0.0848783, -1.66695, image00019.jpg, 2420.928128, 351884, 173.812500, -2.562500, -4.000000
