X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1552.35, -140.286, 97.2851, 86.5357, 1.77855, 0.982887, image00001.jpg, 135.852896, 203674, 13.625000, -3.125000, -3.625000
1552.35, -140.283, 97.2781, 86.5389, 1.74897, 0.980834, image00002.jpg, 263.765728, 203686, 13.625000, -3.125000, -3.750000
1552.35, -140.282, 97.2911, 86.5413, 1.76929, 0.985592, image00003.jpg, 391.233184, 203699, 13.625000, -3.125000, -3.812500
1552.24, -140.251, 97.109, 86.4085, 2.60781, 1.23884, image00004.jpg, 522.810080, 203712, 13.625000, -3.125000, -3.875000
1552.35, -140.283, 97.2926, 86.5356, 1.76269, 0.985049, image00005.jpg, 655.653216, 203726, 13.625000, -3.125000, -4.000000
1552.41, -140.29, 97.4184, 86.5701, 1.46895, 0.908618, image00006.jpg, 791.339008, 203738, 13.625000, -3.125000, -4.062500
1552.4, -140.246, 97.3601, 86.5082, 1.83823, 1.04604, image00007.jpg, 922.907968, 203752, 13.625000, -3.125000, -4.062500
1552.36, -140.261, 97.3705, 86.5735, 1.55236, 0.929262, image00008.jpg, 1058.472224, 203766, 13.625000, -3.125000, -4.125000
1552.34, -140.276, 97.2714, 86.5385, 1.75726, 0.989118, image00009.jpg, 1191.070336, 203779, 13.625000, -3.125000, -4.187500
1552.37, -140.247, 97.3492, 86.5049, 1.83336, 1.04847, image00010.jpg, 1323.673664, 203792, 13.625000, -3.125000, -4.187500
1552.34, -140.273, 97.284, 86.5452, 1.75375, 0.983539, image00011.jpg, 1459.071456, 203806, 13.625000, -3.125000, -4.250000
1552.21, -140.279, 97.0369, 86.4461, 2.48051, 1.16707, image00012.jpg, 1590.546240, 203819, 13.625000, -3.125000, -4.250000
1543.31, -139.698, 97.5629, 86.2408, 1.41609, 0.967131, image00013.jpg, 1723.265312, 203832, 13.937500, -3.187500, -4.187500
1519.12, -138.787, 97.8778, 86.1295, 1.5659, 1.03354, image00014.jpg, 1858.685760, 203846, 14.000000, -3.125000, -4.125000
1492.2, -137.441, 98.1228, 85.9141, 1.37206, 1.20771, image00015.jpg, 1990.917312, 203859, 14.187500, -3.187500, -4.187500
1463.19, -135.886, 98.7572, 85.9938, 1.46884, 1.21795, image00016.jpg, 2123.633344, 203872, 14.125000, -3.187500, -4.312500
1429.16, -136.573, 99.2716, 90.6156, 1.36303, 1.39576, image00017.jpg, 2259.285632, 203886, 9.625000, -2.875000, -4.437500
1398.38, -137.747, 99.2385, 92.0318, 1.6079, 1.17503, image00018.jpg, 2391.450624, 203899, 8.187500, -2.875000, -4.500000
1367.29, -139.683, 99.2516, 92.107, 1.72043, 1.32575, image00019.jpg, 2522.890816, 203912, 8.000000, -2.812500, -4.562500
1333.97, -141.8, 100.213, 91.9001, 1.74138, 1.11225, image00020.jpg, 2658.895456, 203926, 8.000000, -2.875000, -4.562500
1302.85, -144.297, 100.545, 91.7429, 2.37944, 1.37261, image00021.jpg, 2790.989664, 203939, 8.000000, -2.812500, -4.375000
1268.69, -146.285, 100.911, 91.8216, 1.67054, 1.24273, image00022.jpg, 2927.342848, 203953, 7.875000, -2.812500, -4.687500
1237.4, -148.74, 101.645, 92.0256, 1.76503, 1.03911, image00023.jpg, 3059.371424, 203966, 8.000000, -2.875000, -4.562500
1205.67, -150.936, 101.961, 92.1798, 1.83748, 1.08204, image00024.jpg, 3190.975168, 203979, 7.875000, -2.812500, -4.625000
1170.82, -153.871, 102.328, 92.1779, 2.06282, 1.22414, image00025.jpg, 3327.090560, 203993, 7.812500, -2.750000, -4.562500
1138.02, -156.202, 102.762, 92.1477, 2.2081, 1.4888, image00026.jpg, 3459.458336, 204006, 7.812500, -2.625000, -4.500000
1104.67, -158.824, 103.539, 92.2491, 1.81252, 1.36776, image00027.jpg, 3590.592928, 204019, 7.750000, -2.562500, -4.500000
1068.63, -161.544, 103.987, 92.3561, 2.08602, 1.4966, image00028.jpg, 3727.813792, 204033, 7.687500, -2.562500, -4.562500
1035.33, -164.281, 104.662, 92.3501, 2.16071, 1.63895, image00029.jpg, 3858.984864, 204046, 7.625000, -2.500000, -4.562500
1001.41, -167.13, 105.022, 92.5574, 2.1102, 1.64168, image00030.jpg, 3991.597824, 204059, 7.500000, -2.500000, -4.500000
965.426, -170.109, 105.971, 92.6991, 1.86688, 1.47581, image00031.jpg, 4126.617440, 204073, 7.375000, -2.500000, -4.500000
931.981, -172.814, 106.315, 92.6531, 2.16077, 1.58747, image00032.jpg, 4259.352928, 204086, 7.375000, -2.500000, -4.375000
896.127, -175.538, 107.241, 92.6288, 1.93497, 1.38169, image00033.jpg, 4395.761440, 204100, 7.375000, -2.687500, -4.562500
863.016, -178.107, 107.69, 92.3909, 1.86871, 1.24965, image00034.jpg, 4526.669152, 204113, 7.687500, -2.812500, -4.500000
828.903, -180.732, 108.365, 92.3225, 2.01031, 1.28867, image00035.jpg, 4659.364256, 204126, 7.750000, -2.875000, -4.625000
797.157, -183.142, 108.718, 92.3022, 1.63288, 1.12951, image00036.jpg, 4794.689760, 204138, 7.937500, -2.875000, -4.500000
759.675, -185.645, 109.158, 91.9194, 1.87586, 1.38179, image00037.jpg, 4927.280480, 204152, 8.125000, -2.750000, -4.437500
721.274, -188.04, 109.96, 91.952, 1.60365, 1.35618, image00038.jpg, 5059.184672, 204166, 8.125000, -2.750000, -4.625000
682.331, -190.844, 110.477, 91.8416, 1.88526, 1.20359, image00039.jpg, 5195.804384, 204180, 8.312500, -2.812500, -4.625000
645.909, -193.374, 111.145, 92.0524, 1.74082, 1.16025, image00040.jpg, 5326.863264, 204193, 8.125000, -2.875000, -4.687500
609.337, -196.26, 111.822, 92.3558, 1.79679, 1.28074, image00041.jpg, 5459.707552, 204206, 7.937500, -2.750000, -4.500000
569.928, -199.318, 112.374, 92.3104, 2.03848, 1.44211, image00042.jpg, 5595.893792, 204220, 7.812500, -2.625000, -4.500000
532.903, -201.513, 113.155, 92.5422, 1.51457, 1.1762, image00043.jpg, 5727.397920, 204233, 7.750000, -2.687500, -4.750000
496.529, -204.707, 113.934, 92.5553, 1.69134, 1.06863, image00044.jpg, 5863.006720, 204246, 7.750000, -2.687500, -4.562500
457.333, -207.591, 114.405, 92.4926, 1.7622, 1.13822, image00045.jpg, 5995.324672, 204260, 7.812500, -2.687500, -4.625000
421.194, -210.394, 115.251, 92.6919, 1.59224, 1.12745, image00046.jpg, 6127.457408, 204273, 7.812500, -2.687500, -4.562500
385.976, -210.65, 115.796, 88.1778, 1.57896, 1.00782, image00047.jpg, 6263.097632, 204286, 11.812500, -3.000000, -4.500000
349.543, -210.01, 116.838, 87.0206, 1.61486, 1.10266, image00048.jpg, 6395.318848, 204299, 13.500000, -3.125000, -4.500000
309.5, -209.187, 117.429, 87.0062, 1.65541, 1.10825, image00049.jpg, 6527.426112, 204313, 13.437500, -3.187500, -4.500000
271.851, -208.446, 118.005, 87.2713, 1.69238, 0.99936, image00050.jpg, 6663.363040, 204326, 13.187500, -3.125000, -4.437500
234.315, -207.601, 118.752, 87.2959, 1.85787, 1.24819, image00051.jpg, 6794.907712, 204339, 13.125000, -3.062500, -4.312500
196.742, -207.183, 119.685, 87.4649, 1.75955, 1.24918, image00052.jpg, 6926.636352, 204352, 13.062500, -3.000000, -4.312500
160.367, -203.756, 120.35, 81.9017, 1.48032, 0.92016, image00053.jpg, 7063.596320, 204365, 18.375000, -3.500000, -4.312500
118.194, -198.792, 121.294, 80.0108, 1.65877, 1.0454, image00054.jpg, 7195.450656, 204379, 20.187500, -3.500000, -4.187500
75.4204, -192.657, 122.03, 79.8091, 2.31133, 0.798389, image00055.jpg, 7330.992224, 204393, 20.437500, -3.687500, -4.000000
37.3018, -185.303, 122.463, 74.6435, 1.40314, 0.62901, image00056.jpg, 7463.108896, 204406, 25.125000, -4.062500, -3.875000
-1.33136, -175.424, 123.471, 71.1591, 1.26598, 0.423876, image00057.jpg, 7595.429696, 204419, 29.062500, -4.437500, -3.562500
-43.2862, -162.863, 123.883, 71.0472, 1.50022, 0.449153, image00058.jpg, 7731.244352, 204433, 29.375000, -4.312500, -3.500000
-82.2177, -150.684, 124.533, 71.0804, 1.41826, 0.655315, image00059.jpg, 7863.239808, 204446, 29.312500, -4.312500, -3.625000
-124.563, -137.212, 125.391, 70.9364, 1.48002, 0.531108, image00060.jpg, 7999.425856, 204460, 29.375000, -4.437500, -3.687500
-163.48, -124.745, 126.211, 70.9416, 1.16668, 0.649144, image00061.jpg, 8131.318400, 204473, 29.437500, -4.437500, -3.687500
-202.702, -112.639, 127.091, 70.9604, 1.19271, 0.584349, image00062.jpg, 8262.967456, 204486, 29.437500, -4.437500, -3.625000
-244.89, -99.5427, 127.665, 70.9033, 1.35571, 0.54283, image00063.jpg, 8399.472000, 204500, 29.375000, -4.312500, -3.625000
-284.172, -87.2827, 128.376, 70.918, 1.33559, 0.661268, image00064.jpg, 8531.119712, 204513, 29.437500, -4.375000, -3.625000
-324.75, -74.4209, 129.148, 70.9802, 1.24212, 0.586697, image00065.jpg, 8663.137952, 204526, 29.375000, -4.500000, -3.687500
-369.415, -60.7504, 129.835, 71.0914, 1.19568, 0.521957, image00066.jpg, 8798.541696, 204540, 29.187500, -4.437500, -3.687500
-411.333, -47.745, 130.553, 70.6144, 1.24393, 0.397481, image00067.jpg, 8930.953216, 204553, 29.375000, -4.562500, -3.625000
-453.309, -33.2519, 131.374, 67.9138, 1.06799, 0.196368, image00068.jpg, 9062.874400, 204566, 32.375000, -4.687500, -3.500000
-500.607, -15.6174, 132.148, 67.7407, 0.940615, 0.269389, image00069.jpg, 9199.560832, 204580, 32.687500, -4.812500, -3.500000
-545.006, 1.04949, 132.736, 67.3348, 1.05975, 0.318251, image00070.jpg, 9330.889568, 204593, 32.625000, -5.000000, -3.437500
-580.022, 19.4971, 133.482, 54.0329, 0.841997, 0.15949, image00071.jpg, 9462.899616, 204606, 45.937500, -5.750000, -2.625000
-621.562, 49.2496, 134.008, 49.1333, 1.28719, -0.24488, image00072.jpg, 9600.388864, 204620, 50.687500, -6.000000, -2.250000
-659.609, 79.7411, 134.266, 48.5886, 1.34174, -0.210633, image00073.jpg, 9731.397664, 204633, 51.312500, -6.000000, -2.187500
-701.002, 113.689, 134.874, 48.5003, 1.00159, -0.290863, image00074.jpg, 9867.454528, 204647, 51.500000, -6.187500, -2.062500
-739.02, 145.903, 135.454, 48.4587, 1.17494, -0.210191, image00075.jpg, 9999.314816, 204660, 51.437500, -6.250000, -2.125000
-771.81, 173.276, 135.818, 48.3335, 1.43757, -0.337716, image00076.jpg, 10131.331520, 204671, 51.437500, -6.187500, -2.125000
-820.014, 212.295, 135.812, 48.2749, 1.24589, 0.429349, image00077.jpg, 10266.471840, 204687, 51.500000, -6.000000, -2.000000
-856.93, 244.746, 137.575, 48.2326, 1.82367, -0.558865, image00078.jpg, 10399.019264, 204700, 51.625000, -5.875000, -2.062500
-895.7, 276.983, 138.313, 48.394, 1.88891, -0.434362, image00079.jpg, 10534.395840, 204713, 51.562500, -5.812500, -2.062500
-937.603, 311.77, 138.549, 48.1809, 1.79502, -0.374255, image00080.jpg, 10667.125248, 204727, 51.562500, -5.875000, -2.062500
-976.495, 343.801, 139.372, 48.3747, 1.24042, 0.409855, image00081.jpg, 10799.596704, 204740, 51.562500, -5.937500, -2.062500
-1014.94, 376.25, 140.64, 48.4265, 1.76259, 0.174257, image00082.jpg, 10934.172000, 204753, 51.437500, -5.750000, -2.125000
-1055.98, 411.451, 142.358, 48.1894, 1.95868, -0.276032, image00083.jpg, 11067.272032, 204767, 51.375000, -5.875000, -2.062500
-1095.12, 443.249, 142.683, 48.0429, 1.82329, -0.37103, image00084.jpg, 11199.007936, 204780, 51.625000, -5.937500, -2.062500
-1135, 478.424, 144.661, 49.2082, 1.29052, 0.205411, image00085.jpg, 11334.922528, 204794, 51.375000, -6.000000, -2.000000
-1179.21, 507.922, 144.038, 55.1264, 1.64623, 0.241674, image00086.jpg, 11467.882752, 204807, 45.062500, -5.687500, -2.500000
-1220.75, 535.475, 146.135, 57.1822, 1.91305, -0.109186, image00087.jpg, 11600.946400, 204820, 42.812500, -5.562500, -2.625000
-1263.04, 560.203, 146.512, 58.2424, 1.85739, 0.051721, image00088.jpg, 11735.147296, 204834, 42.375000, -5.562500, -2.562500
-1300.34, 576.184, 147.574, 66.9156, 2.11124, 0.264547, image00089.jpg, 11867.749984, 204847, 33.687500, -5.125000, -3.250000
-1333.84, 590.551, 147.891, 68.9525, 2.13225, -0.204956, image00090.jpg, 11999.421472, 204860, 31.250000, -5.062500, -3.437500
-1371.24, 602.953, 148.566, 69.7045, 1.96014, 0.342444, image00091.jpg, 12135.332800, 204874, 31.062500, -5.062500, -3.437500
-1397.99, 615.699, 149.414, 76.0124, 2.10758, 0.175482, image00092.jpg, 12266.851744, 204887, 25.250000, -4.750000, -3.875000
-1428.03, 624.406, 149.663, 77.2529, 2.00124, 0.0828694, image00093.jpg, 12399.638784, 204900, 23.000000, -4.625000, -4.125000
-1461.83, 630.85, 150.559, 77.317, 2.21782, 0.131365, image00094.jpg, 12534.947488, 204914, 22.812500, -4.562500, -4.125000
-1495.57, 634.54, 151.18, 81.9854, 2.42094, 0.391438, image00095.jpg, 12667.578048, 204927, 18.812500, -4.187500, -4.375000
-1529.81, 636.923, 151.208, 83.6558, 2.1438, 0.622951, image00096.jpg, 12802.607776, 204940, 16.875000, -4.125000, -4.312500
-1562.69, 639.87, 152.151, 84.3776, 2.31406, 0.531057, image00097.jpg, 12935.044224, 204954, 16.875000, -4.125000, -4.250000
-1593.41, 638.893, 153.635, 94.2264, 2.3931, 1.41646, image00098.jpg, 13067.466592, 204966, 7.062500, -3.187500, -4.625000
-1628.36, 636.62, 153.826, 98.3261, 2.4899, 1.402, image00099.jpg, 13203.047296, 204980, 2.062500, -2.875000, -4.875000
-1658.01, 631.847, 154.294, 98.6823, 2.5827, 1.18881, image00100.jpg, 13335.454240, 204994, 1.500000, -3.125000, -4.937500
-1683.75, 626.011, 155.096, 99.6704, 2.43116, 1.11226, image00101.jpg, 13470.883104, 205007, 1.125000, -3.062500, -4.937500
-1711.44, 617.215, 155.229, 106.418, 2.12764, 1.58556, image00102.jpg, 13603.004224, 205019, 353.812500, -2.375000, -5.062500
-1748.11, 599.314, 155.374, 117.686, 1.91618, 1.60135, image00103.jpg, 13734.657408, 205034, 344.062500, -1.687500, -5.125000
-1776.68, 584.403, 156.005, 121.152, 2.30693, 1.85544, image00104.jpg, 13870.941760, 205047, 339.750000, -1.437500, -5.125000
-1803.77, 566.073, 156.159, 129.03, 2.0829, 2.35005, image00105.jpg, 14002.942240, 205060, 331.187500, -0.500000, -5.000000
-1829.62, 543.407, 156.081, 131.868, 2.49499, 2.98446, image00106.jpg, 14135.525504, 205074, 327.875000, -0.375000, -4.937500
-1847.6, 522.447, 156.95, 133.238, 2.05429, 2.77756, image00107.jpg, 14271.416288, 205087, 327.312500, -0.375000, -4.875000
-1868.92, 501.19, 157.409, 133.43, 1.64053, 2.55589, image00108.jpg, 14402.902848, 205100, 327.250000, -0.312500, -4.750000
-1893.93, 477.408, 157.473, 133.11, 1.84524, 2.46567, image00109.jpg, 14534.828544, 205114, 327.062500, -0.187500, -4.812500
-1917.41, 454.165, 157.81, 133.299, 1.71354, 2.54902, image00110.jpg, 14670.879008, 205127, 327.000000, -0.187500, -4.812500
-1940.27, 430.121, 158.561, 134.101, 1.48433, 2.55249, image00111.jpg, 14803.395104, 205140, 326.625000, -0.125000, -4.812500
-1965.71, 404.175, 158.504, 134.663, 1.60084, 2.63986, image00112.jpg, 14935.512704, 205154, 326.125000, 0.000000, -4.625000
-1984.94, 375.963, 159.115, 143.031, 1.38131, 2.85584, image00113.jpg, 15071.049568, 205167, 318.062500, 0.500000, -4.375000
-2001.77, 353.016, 159.317, 145.462, 1.38074, 2.92559, image00114.jpg, 15203.298208, 205179, 315.187500, 0.687500, -4.187500
-2018.48, 322.747, 160.162, 151.032, 0.620405, 3.04239, image00115.jpg, 15339.011360, 205194, 310.375000, 0.937500, -4.000000
-2032.14, 296.118, 160.626, 152.539, 0.281047, 3.21787, image00116.jpg, 15470.610016, 205207, 308.625000, 1.125000, -3.875000
-2044.88, 270.623, 160.478, 152.576, 0.598199, 3.1229, image00117.jpg, 15603.453888, 205220, 308.437500, 1.062500, -3.875000
-2058.46, 243.352, 161.226, 152.716, 0.222535, 3.12719, image00118.jpg, 15738.473152, 205234, 308.375000, 1.000000, -3.875000
-2070.93, 218.036, 161.355, 152.86, 0.391206, 3.01508, image00119.jpg, 15871.158208, 205247, 308.375000, 1.000000, -3.937500
-2083.53, 192.337, 161.202, 153.025, 0.608882, 3.05478, image00120.jpg, 16003.653856, 205260, 308.187500, 0.875000, -3.937500
-2096.6, 164.245, 161.449, 153.682, 0.444026, 3.06954, image00121.jpg, 16139.329280, 205274, 307.937500, 0.875000, -3.875000
-2108.87, 138.512, 161.328, 154.373, 0.467504, 3.78524, image00122.jpg, 16271.358784, 205287, 306.625000, 1.000000, -3.750000
-2120.52, 110.885, 161.482, 154.702, 0.36524, 3.38136, image00123.jpg, 16408.254624, 205301, 306.625000, 1.000000, -3.750000
-2132.74, 86.2114, 161.976, 154.975, 0.209344, 3.34016, image00124.jpg, 16538.637952, 205314, 306.562500, 1.125000, -3.750000
-2145.8, 66.6099, 161.728, 163.143, 0.0452778, 3.21289, image00125.jpg, 16670.556736, 205327, 298.937500, 1.562500, -3.375000
-2155.83, 38.5725, 161.715, 164.979, -0.0195167, 3.19817, image00126.jpg, 16807.858016, 205341, 296.125000, 1.750000, -3.312500
-2162.52, 11.7401, 161.853, 165.015, -0.0169619, 3.09899, image00127.jpg, 16939.091136, 205354, 296.125000, 1.812500, -3.312500
-2170.8, -20.1662, 162.078, 164.829, -0.370741, 3.2799, image00128.jpg, 17074.269984, 205367, 296.312500, 1.875000, -3.375000
-2178.35, -55.3713, 162.201, 164.937, -0.300291, 3.23036, image00129.jpg, 17207.493792, 205380, 296.812500, 1.875000, -3.375000
-2189.63, -93.6296, 162.219, 164.082, -0.472419, 3.43325, image00130.jpg, 17338.928992, 205394, 297.000000, 2.187500, -3.250000
-2201.63, -133.759, 162.191, 163.994, -0.402807, 3.45061, image00131.jpg, 17474.904416, 205408, 296.937500, 2.062500, -3.500000
-2210.77, -171.432, 163.275, 163.125, -0.299026, 3.22559, image00132.jpg, 17607.629696, 205421, 297.000000, 2.062500, -3.500000
-2224.19, -201.808, 162.91, 150.352, 0.775612, 3.08732, image00133.jpg, 17738.976256, 205434, 309.687500, 1.250000, -4.125000
-2241.46, -232.041, 163.756, 144.579, 1.35161, 2.90042, image00134.jpg, 17875.680096, 205448, 314.687500, 0.750000, -4.500000
-2259.51, -250.925, 163.133, 129.165, 2.37311, 2.14903, image00135.jpg, 18007.510336, 205461, 328.437500, -0.437500, -4.937500
-2268.24, -260.39, 163.135, 118.133, 1.65342, 1.6113, image00136.jpg, 18139.472736, 205474, 340.750000, -1.375000, -5.062500
-2269.91, -260.298, 163.619, 104.038, 2.09273, 1.25254, image00137.jpg, 18274.931392, 205488, 354.375000, -2.625000, -5.000000
