X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1478.44, 296.203, 95.535, 156.635, 0.810107, 5.48862, image00001.jpg, 137.685280, 892428, 105.250000, -3.437500, -4.625000
1478.41, 296.175, 95.5329, 156.652, 0.805462, 5.51143, image00002.jpg, 267.996192, 892441, 105.250000, -3.437500, -4.625000
1471.27, 281.113, 95.8007, 156.454, -0.0338131, 4.3611, image00003.jpg, 397.158592, 892454, 105.562500, -3.375000, -4.750000
1456.48, 244.99, 101.061, 156.585, -3.31259, 5.17015, image00004.jpg, 526.583360, 892467, 105.687500, 0.062500, -4.625000
1434.79, 191.789, 104.849, 156.673, -5.68968, 6.06967, image00005.jpg, 656.943520, 892480, 105.812500, 2.687500, -4.437500
1410.86, 134.007, 113.056, 157.309, -8.14728, 4.92787, image00006.jpg, 788.393056, 892493, 105.375000, 5.875000, -5.250000
1384.45, 77.1151, 114.532, 156.868, -5.02698, 3.13808, image00007.jpg, 890.170368, 892504, 105.375000, 2.375000, -6.312500
1361.46, 17.959, 114.695, 157.345, -0.0527864, 3.12755, image00008.jpg, 990.227552, 892514, 104.937500, -2.062500, -6.312500
1331.7, -71.0585, 112.775, 158.252, 9.9569, -0.417239, image00009.jpg, 1121.591552, 892527, 103.687500, -12.000000, -5.250000
1307.63, -139.697, 107.528, 158.599, 5.99835, 1.0816, image00010.jpg, 1250.654016, 892540, 103.375000, -9.687500, -5.125000
1291.02, -189.253, 103.993, 158.862, 2.61719, 1.86053, image00011.jpg, 1351.915776, 892550, 103.187500, -6.187500, -4.875000
1274.87, -237.392, 100.396, 159.11, 0.445437, 2.80788, image00012.jpg, 1452.284992, 892560, 102.812500, -3.125000, -4.750000
1261.97, -272.634, 100.974, 159.345, 0.445046, 3.14408, image00013.jpg, 1552.466144, 892570, 102.375000, -3.312500, -4.750000
1259.43, -281.352, 100.801, 160.075, 0.434626, 2.6905, image00014.jpg, 1652.577536, 892580, 101.937500, -3.125000, -4.750000
