X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1557.32, -113.548, 97.3241, 0.275842, 0.35196, 0.0261763, image00001.jpg, 130.151104, 273529, 282.750000, -1.812500, -0.687500
1557.34, -113.558, 97.3553, 0.271792, 0.340728, -0.00350251, image00002.jpg, 259.762240, 273542, 282.750000, -1.750000, -0.625000
1557.34, -113.538, 97.3464, 0.284414, 0.345275, 0.010525, image00003.jpg, 390.516384, 273555, 282.750000, -1.687500, -0.562500
1557.28, -113.201, 97.3483, 0.222491, 0.400745, 0.0515299, image00004.jpg, 519.890464, 273568, 282.812500, -1.625000, -0.500000
1556.78, -93.5406, 101.658, 0.237357, -0.66693, -0.488752, image00005.jpg, 651.817440, 273581, 282.750000, -1.750000, -0.500000
1556.58, -62.4968, 101.597, 0.146428, -0.628713, -0.535103, image00006.jpg, 787.252224, 273595, 282.750000, -1.625000, -0.500000
1556.77, -31.1828, 96.8466, 0.364127, 0.483257, 0.0336926, image00007.jpg, 920.258336, 273608, 282.687500, -1.625000, -0.500000
1555.73, 8.8856, 102.659, 0.534412, 0.1845, -0.297208, image00008.jpg, 1055.529728, 273622, 282.625000, -1.625000, -0.437500
1555.87, 42.472, 102.478, 0.924696, 0.0945264, -0.66018, image00009.jpg, 1187.594304, 273635, 282.312500, -1.750000, -0.625000
1555.04, 73.7177, 102.068, 0.895932, 0.265429, -0.179889, image00010.jpg, 1320.307680, 273648, 282.250000, -1.687500, -0.500000
1555, 104.478, 102.198, 0.93105, 0.316713, -0.134494, image00011.jpg, 1454.538240, 273661, 282.187500, -1.687500, -0.500000
1554, 136.914, 101.931, 1.09338, 0.163845, 1.94387, image00012.jpg, 1587.373664, 273675, 282.000000, -1.687500, -0.562500
1552.93, 167.048, 100.489, 1.23447, -1.31349, -2.13064, image00013.jpg, 1720.204544, 273688, 282.000000, -1.500000, -0.500000
1553.39, 199.664, 101.298, 1.28243, 0.180416, -0.0345577, image00014.jpg, 1855.623488, 273702, 281.937500, -1.687500, -0.562500
1552.62, 229.967, 101.123, 1.19697, 0.267386, 0.00704307, image00015.jpg, 1987.975008, 273715, 281.750000, -1.750000, -0.687500
1551.55, 260.19, 100.401, 1.21336, -0.845292, -1.15397, image00016.jpg, 2119.775424, 273728, 281.750000, -1.750000, -0.625000
1550.77, 292.397, 100.248, 1.45935, -0.591283, -0.904501, image00017.jpg, 2255.473696, 273742, 281.750000, -1.687500, -0.625000
1550.28, 322.29, 100.49, 1.66194, -0.0180755, -0.300364, image00018.jpg, 2388.553280, 273755, 281.687500, -1.625000, -0.625000
1549.42, 352.085, 100.515, 1.59, 0.026603, -0.773692, image00019.jpg, 2523.185024, 273768, 281.562500, -1.500000, -0.500000
1549.11, 384.748, 100.595, 1.73472, 0.301277, 0.171697, image00020.jpg, 2655.790336, 273782, 281.562500, -1.625000, -0.687500
