X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1591.51, -1569.61, 100.127, 70.6525, 2.71358, 0.324373, image00001.jpg, 130.079200, 906532, 52.437500, -3.437500, -3.875000
1591.52, -1569.63, 100.106, 70.6554, 2.75554, 0.319742, image00002.jpg, 263.014208, 906552, 52.437500, -3.375000, -3.875000
1591.53, -1569.44, 99.3959, 70.4918, 4.35909, 0.247479, image00003.jpg, 363.526528, 906563, 52.437500, -3.375000, -3.937500
1591.51, -1569.68, 100.146, 70.6318, 2.63354, 0.340288, image00004.jpg, 494.366848, 906573, 52.437500, -3.312500, -3.937500
1591.41, -1569.67, 99.998, 70.6649, 2.49621, 0.407126, image00005.jpg, 623.061280, 906583, 52.437500, -3.312500, -4.000000
1591.5, -1569.66, 100.098, 70.6284, 2.74097, 0.328158, image00006.jpg, 752.088544, 906593, 52.437500, -3.312500, -4.000000
1580.34, -1565.43, 100.254, 70.5969, 2.61913, 0.265165, image00007.jpg, 881.395200, 906614, 52.562500, -3.375000, -4.062500
1561.93, -1559.76, 100.602, 70.406, 1.81918, 0.420855, image00008.jpg, 1012.323712, 906624, 52.750000, -3.375000, -4.125000
1536.56, -1552.35, 101.922, 70.4888, 2.26115, 0.666205, image00009.jpg, 1141.552128, 906634, 52.812500, -1.375000, -3.937500
1511.83, -1544.5, 105.496, 70.4156, 2.68364, 3.35125, image00010.jpg, 1273.054496, 906645, 52.750000, 0.437500, -4.000000
1484.63, -1534.74, 106.626, 69.8807, 5.41775, 4.22109, image00011.jpg, 1373.730784, 906655, 52.687500, 1.625000, -3.875000
1428.79, -1517.43, 112.038, 70.3132, 4.70728, 7.09464, image00012.jpg, 1503.946784, 906675, 52.562500, 4.000000, -3.875000
1398.11, -1507.4, 114.68, 69.7572, 6.83314, 8.73076, image00013.jpg, 1634.563872, 906686, 52.750000, 5.687500, -3.500000
1371.56, -1497.45, 119.26, 69.9319, 4.17977, 8.36117, image00014.jpg, 1765.648032, 906696, 52.937500, 2.812500, -6.062500
1340.29, -1483.71, 119.489, 70.0939, 2.06647, 6.70744, image00015.jpg, 1895.504640, 906706, 52.750000, 0.250000, -6.625000
1260.31, -1458.18, 120.209, 70.8796, -0.354278, 0.304131, image00016.jpg, 2024.928416, 906727, 52.125000, -5.062500, -6.500000
1217.32, -1445.71, 120.248, 71.4173, -1.60397, -4.27381, image00017.jpg, 2154.610912, 906737, 51.500000, -10.562500, -6.062500
1171.62, -1433.63, 118.604, 71.8683, -1.99006, -8.49288, image00018.jpg, 2285.633984, 906747, 50.937500, -12.250000, -4.812500
1098.17, -1414.21, 113.887, 72.2133, -0.74711, -4.93343, image00019.jpg, 2416.078880, 906768, 50.937500, -8.937500, -4.625000
1065.64, -1404.86, 110.539, 72.25, 0.882442, -2.61815, image00020.jpg, 2546.573152, 906778, 50.875000, -5.750000, -4.562500
1032.25, -1394.77, 108.012, 72.3631, 1.03982, -0.15942, image00021.jpg, 2676.150656, 906788, 51.000000, -3.375000, -4.312500
996.482, -1384.82, 107.626, 72.2399, 1.41781, 0.38308, image00022.jpg, 2807.133568, 906798, 50.875000, -3.312500, -4.437500
