Timestamp [ms],Filename,Frame,X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees]
102.596,snapshot_0.png,396094,1526.46,-15.4369,96.6144,97.1885,-0.19222,1.13168
265.761,snapshot_1.png,396104,1526.46,-15.4423,96.6121,97.1886,-0.208571,1.12457
405.077,snapshot_2.png,396125,1526.47,-15.4388,96.6121,97.1868,-0.181733,1.13626
535.095,snapshot_3.png,396135,1525.92,-15.4789,96.5176,96.9969,-0.265801,1.23048
665.76,snapshot_4.png,396145,1507.94,-16.2527,96.9481,96.8571,-0.235393,1.13769
796.3449999999999,snapshot_5.png,396166,1430.77,-24.0074,98.0052,97.1629,0.362736,1.19069
936.064,snapshot_6.png,396176,1388.08,-28.3812,98.6566,97.4035,0.260243,1.08784
1070.78,snapshot_7.png,396186,1344.01,-33.5568,99.2599,97.6958,0.475996,1.2425
1203.5,snapshot_8.png,396207,1249.8,-45.5256,100.729,98.8033,0.299734,1.19395
1333.1599999999999,snapshot_9.png,396217,1205.21,-51.8997,101.615,99.1016,0.743132,1.33881
1467.78,snapshot_10.png,396234,1129.67,-63.2977,102.783,99.9042,0.852213,1.57886
1596.46,snapshot_11.png,396245,1080.65,-71.5848,103.695,100.544,0.538286,1.51435
1738.82,snapshot_12.png,396261,1009.59,-84.5845,105.375,100.95,0.558097,1.60405
1874.19,snapshot_13.png,396275,947.025,-95.82,106.708,101.539,0.535527,1.41587
1998.61,snapshot_14.png,396287,893.249,-107.112,106.844,101.796,0.0614555,1.34761
2134.7999999999997,snapshot_15.png,396301,833.965,-118.26,108.572,101.973,0.779976,1.18783
2265.0299999999997,snapshot_16.png,396314,817.468,-123.96,108.852,101.903,0.685982,1.38792
2410.88,snapshot_17.png,396328,817.343,-123.994,108.641,101.941,0.781365,1.39838
2541.92,snapshot_18.png,396342,818.253,-122.375,108.297,97.0544,0.792903,1.18648
2671.78,snapshot_19.png,396355,818.943,-122.412,108.131,93.2753,0.233433,1.06302
2808.2799999999997,snapshot_20.png,396368,818.815,-122.333,108.119,93.2826,0.199734,1.0133
2939.81,snapshot_21.png,396381,818.804,-122.335,108.114,93.2861,0.196425,1.01264
3073.4900000000002,snapshot_22.png,396395,818.804,-122.33,108.111,93.2881,0.193762,1.00729
3209.09,snapshot_23.png,396408,818.806,-122.324,108.112,93.2856,0.192277,1.00853
3340.69,snapshot_24.png,396420,811.559,-121.735,108.089,92.9708,0.202556,0.983121
3468.1099999999997,snapshot_25.png,396434,777.875,-122.367,108.871,92.6973,0.0548217,1.04993
3613.52,snapshot_26.png,396449,733.31,-123.591,109.692,92.9482,0.33975,1.10847
3740.12,snapshot_27.png,396461,696.381,-124.481,110.013,92.9107,0.0240758,1.26105
3869.68,snapshot_28.png,396474,656.03,-125.517,110.734,93.0083,-0.0759325,1.15673
4007.79,snapshot_29.png,396488,612.295,-127.063,111.515,93.1101,0.0216264,1.12498
4140.66,snapshot_30.png,396501,570.726,-128.738,112.126,93.6392,-0.0939218,1.03094
4278.139999999999,snapshot_31.png,396515,526.447,-130.648,112.822,93.8794,-0.163544,1.08633
4410.05,snapshot_32.png,396524,498.039,-132.075,113.575,94.0687,0.0589204,1.33919
4539.13,snapshot_33.png,396534,466.849,-133.989,114.195,94.1213,0.149585,1.50702
4669.67,snapshot_34.png,396544,434.984,-135.433,114.928,94.3202,0.0338711,1.23923
4805.86,snapshot_35.png,396565,368.737,-139.707,116.091,94.8891,-0.0108437,1.33236
4940.0599999999995,snapshot_36.png,396575,337.337,-141.981,116.778,95.0673,0.0714504,1.40583
5069.54,snapshot_37.png,396585,306.337,-144.185,117.242,95.2769,0.0261456,1.53223
5207.94,snapshot_38.png,396606,240.59,-149.239,118.878,95.6712,0.065692,1.51056
5346.110000000001,snapshot_39.png,396616,208.558,-152.304,119.813,97.4728,0.134504,1.46114
5470.93,snapshot_40.png,396634,149.843,-165.122,121.509,107.811,0.369642,1.80766
5609.14,snapshot_41.png,396648,106.867,-179.18,122.697,108.973,0.298097,1.83855
5744.049999999999,snapshot_42.png,396662,64.7454,-193.13,123.452,109.182,0.370572,1.85555
5874.2,snapshot_43.png,396675,26.0726,-205.594,124.19,109.24,0.289098,1.65356
6005.110000000001,snapshot_44.png,396688,-13.096,-218.758,124.786,109.593,0.328219,1.69833
6144.42,snapshot_45.png,396702,-54.9145,-232.957,125.648,109.83,0.453114,1.55936
6277.12,snapshot_46.png,396715,-93.3645,-246.046,126.596,110.023,0.330221,1.79597
6407.62,snapshot_47.png,396723,-117.063,-254.201,126.825,110.004,0.331556,1.7812
6545.37,snapshot_48.png,396739,-164.587,-270.653,127.854,110.203,0.309102,1.69226
6667.7,snapshot_49.png,396749,-194.653,-281.197,128.66,110.654,0.294529,1.69213
6807.44,snapshot_50.png,396760,-227.014,-292.977,128.786,110.798,0.45484,1.72488
6942.71,snapshot_51.png,396780,-286.963,-314.873,129.918,111.215,0.371777,1.67653
7077.88,snapshot_52.png,396790,-316.57,-326.032,130.894,111.41,0.302137,1.71321
7205.9,snapshot_53.png,396801,-349.275,-338.205,131.145,111.796,0.47175,1.45288
7346.110000000001,snapshot_54.png,396821,-408.671,-361.081,132.679,112.135,0.335298,1.63659
7477.68,snapshot_55.png,396831,-437.884,-372.387,132.981,112.319,0.34652,1.6884
7606.02,snapshot_56.png,396841,-466.207,-383.793,133.423,112.326,0.52932,1.8249
7747.46,snapshot_57.png,396852,-498.68,-396.125,134.203,112.5,0.482879,1.57698
7875.849999999999,snapshot_58.png,396872,-557.069,-419.555,135.267,112.825,0.504523,1.683
8010.759999999999,snapshot_59.png,396882,-586.536,-431.441,135.966,113.173,0.533601,1.6806
8141.09,snapshot_60.png,396893,-618.873,-444.577,136.428,113.214,0.500315,1.84257
