X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Timestamp [ms], Frame
985.073, 1180.28, 109.69, -140.773, -0.159199, 1.69402, 124.658734, 17883
985.072, 1180.28, 109.695, -140.771, -0.159516, 1.69391, 240.837464, 17895
985.068, 1180.28, 109.695, -140.77, -0.162574, 1.69257, 376.837367, 17909
985.072, 1180.28, 109.696, -140.769, -0.154631, 1.68762, 509.005552, 17922
985.397, 1179.54, 109.618, -141.023, -0.181337, 1.65669, 645.468106, 17936
997.464, 1165.62, 109.482, -141.13, 0.0266465, 1.9308, 776.263277, 17949
1000.72, 1161.91, 109.508, -141.016, -0.105127, 1.77274, 908.366119, 17962
1000.46, 1162.1, 109.441, -141.016, -0.0847874, 1.80383, 1008.577922, 17972
1000.47, 1162.03, 109.44, -140.939, -0.104847, 1.76491, 1134.716262, 17984
1010.34, 1150.5, 109.29, -141.192, -0.0113513, 1.81452, 1258.551002, 17997
1026.35, 1132.04, 108.806, -141.102, -0.0135208, 1.76439, 1378.625385, 18009
1046.31, 1109.1, 108.208, -141.008, -0.108106, 1.68268, 1508.669201, 18022
1067.35, 1084.87, 107.456, -140.939, 0.13158, 1.63685, 1640.463213, 18035
1089.86, 1059.06, 106.884, -141.123, -0.15319, 1.79658, 1782.501088, 18049
1105.58, 1040.64, 106.175, -141.085, -0.105777, 1.65874, 1885.213162, 18059
1125.37, 1017.16, 105.509, -141.271, 0.229601, 1.73201, 2013.550782, 18072
1135.56, 1008.73, 105.337, -144.944, 0.173219, 1.77111, 2114.974385, 18082
1141.51, 1004.54, 105.06, -146.897, 0.232861, 1.77164, 2243.036967, 18095
1141.39, 1004.76, 105.064, -146.886, 0.17994, 1.78518, 2347.014023, 18106
1141.4, 1004.75, 105.067, -146.888, 0.178884, 1.78271, 2451.214694, 18116
1141.41, 1004.76, 105.073, -146.888, 0.18157, 1.7764, 2556.238559, 18127
1141.15, 1005.4, 105.108, -144.832, 0.124908, 1.71282, 2656.301404, 18136
1141.28, 1006.26, 105.125, -137.488, 0.0347434, 1.722, 2779.988305, 18149
1140.21, 1005.89, 105.302, -135.648, 0.0131992, 1.68061, 2899.276581, 18161
1140.29, 1005.79, 105.264, -135.644, 0.00601572, 1.69101, 3018.882455, 18172
1150.52, 995.337, 105.086, -136.266, -0.156888, 1.5913, 3124.111311, 18183
1175.48, 969.799, 104.305, -136.714, 0.13631, 1.56537, 3231.184186, 18194
1211.27, 934.504, 102.901, -137.142, 0.193697, 1.8402, 3355.368715, 18206
1251.34, 894.85, 101.658, -136.995, 0.0992235, 1.65588, 3484.017277, 18219
1280.2, 865.977, 101.117, -136.785, 0.280989, 1.39876, 3585.044083, 18229
1306.9, 839.749, 100.155, -136.526, 0.0751753, 1.57392, 3685.434221, 18239
1335.34, 812.089, 99.1895, -136.235, 0.0318831, 1.47187, 3814.139678, 18250
1367.92, 781.161, 98.1348, -135.946, -0.0894842, 1.36636, 3916.762216, 18263
1392.78, 757.561, 97.7137, -135.929, -0.0465213, 1.53826, 4017.503552, 18273
1412.45, 738.17, 97.3039, -135.752, 0.12957, 1.51909, 4117.980953, 18281
1447.15, 705.148, 96.3601, -135.569, 0.153505, 1.55308, 4245.548339, 18295
1471.56, 682.308, 95.7462, -135.569, -0.0966301, 1.49576, 4348.192381, 18305
1497.95, 657.243, 94.9652, -135.594, -0.0998238, 1.46939, 4454.770091, 18316
1521.39, 635.073, 94.5406, -135.541, -0.162212, 1.42926, 4562.472081, 18327
1540.37, 616.854, 94.1055, -135.621, -0.108276, 1.5003, 4664.840445, 18337
1558.62, 599.048, 93.4806, -135.579, 0.0691553, 1.41902, 4766.211504, 18347
1577.19, 578.953, 93.0862, -142.646, 0.175138, 1.30703, 4867.395781, 18358
1598.56, 552.406, 92.5325, -148.894, -0.00953661, 1.29169, 4996.316885, 18371
1611.17, 534.171, 92.2757, -149.568, 0.151141, 1.25343, 5099.840472, 18381
1622.43, 516.755, 91.8675, -149.511, 0.170447, 1.18188, 5201.858439, 18391
1634.2, 497.815, 91.7629, -149.505, 0.0561674, 1.16017, 5330.339322, 18402
1650.81, 471.683, 91.4888, -149.443, 0.119719, 1.19483, 5458.853709, 18417
1661.89, 454.667, 90.9791, -149.362, 0.215519, 1.11882, 5562.283442, 18427
1672.88, 437.664, 90.6409, -149.369, 0.0313171, 1.18967, 5664.101217, 18437
1686.49, 416.814, 90.3726, -149.431, -0.04783, 1.16758, 5770.820047, 18448
1702.41, 392.281, 89.9078, -149.171, -0.00944766, 1.25594, 5876.445156, 18459
1717.64, 368.654, 89.586, -149.153, 0.0207404, 1.13177, 5978.594769, 18469
1732.98, 344.632, 89.0689, -149.08, 0.0887394, 1.11797, 6080.303522, 18479
1748.25, 318.858, 88.5453, -154.03, 0.0595231, 1.0454, 6181.985618, 18489
1764.38, 287.131, 88.3158, -159.141, 0.183657, 1.05653, 6286.700558, 18500
1777.6, 256.846, 87.919, -159.77, 0.211443, 1.26543, 6388.238304, 18510
1789.87, 225.996, 87.3297, -160.007, 0.49218, 1.15088, 6489.183350, 18520
1802.46, 194.762, 86.9234, -159.958, 0.167629, 1.02699, 6594.543948, 18530
1816.13, 156.816, 86.1135, -165.386, 0.348051, 1.06887, 6697.109143, 18541
1826.91, 112.564, 85.2823, -170.849, 0.398508, 0.859861, 6813.506336, 18552
1836.67, 66.3063, 84.7369, -171.78, 0.56082, 0.666878, 6920.445291, 18563
1844.08, 24.3323, 83.9851, -171.817, 0.541549, 0.149659, 7027.733396, 18574
1851.07, -15.4594, 83.3229, -171.734, 0.461179, 0.15842, 7142.544200, 18585
1856.87, -57.4503, 82.5895, 179.788, 0.426667, 0.157779, 7262.593239, 18597
1856.64, -98.1835, 82.8314, 172.492, 0.178919, 0.531943, 7371.492885, 18608
1853.53, -138.811, 81.9346, 171.361, 0.0540115, 0.0295088, 7477.326408, 18619
1848.08, -177.875, 82.559, 167.32, 0.388656, 0.704082, 7581.304329, 18629
1838.29, -218.128, 82.3321, 159.649, 0.0467817, 0.128413, 7688.305044, 18640
1825.4, -258.336, 82.3012, 155.533, 0.0456967, 0.538263, 7797.278161, 18651
1807.57, -302.346, 82.2127, 154.975, 0.0397704, 0.499707, 7923.372277, 18663
1789.15, -346.388, 82.767, 155.31, 0.0301819, 0.725574, 8040.685432, 18675
1772.31, -386.594, 82.7678, 155.518, -0.374495, 0.471177, 8147.404581, 18686
1754.09, -429.501, 83.0554, 155.391, -0.277624, 0.471785, 8267.214037, 18698
1738.36, -465.31, 82.9156, 150.168, -0.453883, 0.52538, 8373.480486, 18708
1716.56, -506.889, 83.2774, 147.064, -0.626749, 0.607569, 8491.082854, 18720
1694.92, -543.968, 83.6595, 146.596, -0.639664, 0.479328, 8600.998269, 18731
1671.98, -581.325, 83.896, 146.693, -0.66775, 0.183325, 8705.518073, 18742
1648.21, -618.877, 84.2959, 142.964, -0.783456, -0.0842883, 8816.653543, 18753
1623.68, -651.793, 84.6382, 132.232, -1.18616, 0.0214453, 8929.300747, 18764
1593.75, -682.065, 85.3864, 124.762, -1.20767, 0.471969, 9037.670220, 18775
1561.92, -707.635, 86.1618, 123.655, -1.34557, 0.605437, 9142.577606, 18785
1525.61, -733.674, 86.8257, 123.402, -1.25455, 0.892305, 9248.563288, 18796
1488.8, -759.989, 87.7242, 123.585, -1.39926, 0.956955, 9359.572327, 18807
1451.85, -786.827, 88.7722, 123.898, -1.14593, 0.809802, 9470.439031, 18818
1408.49, -821.346, 88.5887, 125.38, -0.265834, 0.481519, 9597.665619, 18831
1372.23, -845.949, 90.4981, 124.365, -0.828384, 0.945454, 9704.787709, 18841
1330.93, -876.039, 91.4338, 124.347, -0.600692, 0.772716, 9815.097745, 18852
1287.6, -908.321, 92.2943, 124.517, -0.50082, 0.898587, 9921.066500, 18863
1243, -944.766, 92.017, 126.535, 0.401788, 0.451141, 10029.160167, 18874
1198.87, -972.628, 94.4196, 123.186, 0.14391, 1.13484, 10135.510679, 18884
1181.77, -984.382, 94.9983, 121.19, -0.000350624, 1.39256, 10240.314034, 18888
1103.68, -1025.62, 97.3774, 112.607, -0.0460343, 1.02163, 10343.695926, 18905
1053.88, -1047.79, 98.3899, 111.52, -0.0590848, 1.12449, 10447.593592, 18916
1008.4, -1066.84, 99.3991, 111.546, -0.127371, 0.990945, 10555.864026, 18926
959.807, -1090.35, 99.0945, 110.614, -0.185836, 1.2761, 10660.526261, 18937
906.238, -1112.62, 100.599, 110.591, -0.266254, 1.14811, 10776.199523, 18949
860.077, -1128.33, 102.654, 111.239, -0.538426, 0.969865, 10894.966427, 18959
808.282, -1155.05, 101.645, 111.466, -0.116273, 1.02362, 11001.705288, 18971
758.05, -1174.79, 99.9223, 111.803, 2.83616, -1.20376, 11111.252033, 18982
709.343, -1195.42, 100.899, 112.116, 2.60829, -1.00446, 11216.849303, 18993
664.05, -1213.04, 101.763, 108.253, 2.44444, -1.35419, 11321.855504, 19003
614.492, -1229.11, 101.131, 104.533, 2.98755, -2.20829, 11426.950057, 19014
546.531, -1236.98, 103.617, -79.0398, 165.063, -2.40626, 11529.133462, 19024
521.353, -1252.35, 108.695, 100.763, -0.485477, 1.19923, 11631.558081, 19034
469.656, -1262.02, 109.049, 93.2427, -0.430634, 1.11244, 11737.908913, 19045
420.423, -1263.75, 110.748, 88.2773, -0.5686, 1.27242, 11841.377237, 19055
364.419, -1265.66, 111.337, 87.5183, -0.775059, 1.01074, 11955.690285, 19066
307.744, -1267.34, 112.13, 87.1405, 0.598249, 1.21245, 12061.038884, 19077
250.322, -1265.07, 113.334, 84.6071, 0.303754, 1.13618, 12167.109813, 19088
203.04, -1254.2, 112.573, 79.7704, 2.00689, 1.89407, 12273.974401, 19098
141.383, -1241.17, 113.442, 73.7984, 2.49021, 1.7947, 12399.525353, 19111
98.3609, -1228.82, 114.453, 72.9759, 2.61749, 1.84768, 12503.748200, 19121
56.3202, -1215.55, 115.348, 73.0018, 2.68131, 1.90608, 12611.103569, 19132
14.8048, -1206.11, 118.715, 65.4494, -0.359149, 1.52, 12719.765776, 19143
-19.9637, -1188.72, 119.77, 56.6017, -0.42131, 1.85468, 12830.899358, 19154
-51.7244, -1168.17, 120.483, 52.1969, -0.188421, 1.96312, 12940.954676, 19165
-84.5459, -1146.36, 121.082, 51.6038, -0.424429, 1.99286, 13051.130441, 19176
-116.824, -1122.66, 122.189, 51.592, -0.454828, 1.95751, 13156.091010, 19187
-145.028, -1099.93, 123.135, 51.4235, -0.22421, 2.07331, 13260.739262, 19197
-180.845, -1074.03, 124.011, 51.5136, -0.0828085, 2.09386, 13380.964716, 19209
-214.752, -1049.2, 124.906, 51.2028, -0.526763, 2.3189, 13492.682326, 19220
-249.556, -1022.4, 125.953, 51.7154, -0.452085, 2.23542, 13599.060517, 19231
-285.897, -995.251, 127.055, 51.9528, -0.40367, 2.29852, 13706.953290, 19242
-319.966, -971.069, 128.053, 51.662, -0.512664, 2.48736, 13812.545151, 19252
-356.634, -943.954, 129.166, 51.8636, -0.626005, 2.48154, 13918.762960, 19263
-390.223, -919.044, 130.179, 49.4628, -0.422628, 2.3288, 14021.824023, 19273
-423.731, -893.67, 130.171, 47.5795, -0.84231, 1.82377, 14125.069693, 19283
-458.015, -862.882, 132.666, 46.7022, -0.354436, 2.65184, 14228.869470, 19294
-487.061, -839.077, 132.641, 47.2018, -0.3417, 2.06468, 14332.009605, 19303
-525.04, -803.991, 134.479, 46.8283, -0.662999, 2.37331, 14440.448646, 19315
-560.403, -773.948, 136.097, 47.1328, -0.0031568, 1.97292, 14552.989354, 19326
-595.61, -743.752, 136.599, 47.4861, -0.690087, 2.2859, 14661.845640, 19337
-631.165, -713.381, 137.696, 47.6037, -0.0888193, 1.68032, 14773.110677, 19348
-666.952, -684.366, 138.712, 47.6406, 0.325934, 1.08208, 14880.918586, 19359
-705.295, -652.129, 139.802, 47.6137, -0.125374, 1.70948, 15003.921588, 19371
-740.607, -622.68, 141.088, 47.6432, 0.875976, 0.838756, 15114.529126, 19382
-779.725, -589.838, 141.775, 47.9712, 0.325687, 1.6349, 15231.586634, 19394
-815.975, -560.339, 142.728, 48.2331, 0.24425, 1.7773, 15343.265236, 19405
-851.972, -531.189, 143.888, 48.4708, 0.35115, 1.71739, 15453.819238, 19416
-886.11, -502.227, 144.272, 42.5845, -0.336638, 2.37321, 15563.075650, 19427
-920.183, -465.957, 144.901, 35.8953, -0.0905247, 2.21297, 15679.896103, 19439
-952.662, -423.606, 146.499, 34.5928, -0.0343695, 2.094, 15795.447222, 19451
-982.211, -384.044, 147.664, 34.6635, 0.00382484, 2.01888, 15907.286495, 19462
-1006.97, -350.927, 148.169, 25.3547, -0.197903, 2.22723, 16022.220178, 19473
-1023.67, -316.28, 148.463, 16.2081, 0.179539, 2.54179, 16140.927018, 19484
-1040.49, -264.448, 149.236, 14.7538, 0.182773, 2.58407, 16247.138075, 19496
-1057.45, -207.712, 149.892, 14.7124, -0.00579109, 2.70556, 16372.940577, 19508
