X [mm], Y [mm], Z [mm], Heading [degrees], Timestamp [ms], Frame
2260.25, 127.636, 87.2295, 87.4229, 56.115072, 770714
2237.22, 127.445, 88.0277, 87.4621, 156.293440, 770724
2212.62, 127.8, 88.3036, 87.4955, 264.662272, 770735
2186.75, 127.919, 88.7848, 87.5061, 374.746400, 770746
2164.09, 128.263, 88.7207, 87.643, 480.218944, 770756
2138.71, 128.285, 89.1598, 87.5091, 585.456768, 770767
2113.34, 128.421, 89.2809, 87.5657, 694.186976, 770778
2087.82, 128.53, 89.7892, 87.4845, 808.510848, 770789
2064.86, 128.498, 90.245, 87.5072, 913.071488, 770799
2043.98, 128.509, 90.6962, 87.5288, 1014.740736, 770808
2016.54, 128.929, 91.0283, 87.5178, 1118.501952, 770820
2000.66, 128.659, 91.5065, 87.8623, 1224.946400, 770831
1998.31, 128.566, 91.6514, 87.8519, 1329.225024, 770841
1998.41, 128.585, 91.6425, 87.8501, 1416.597920, 770850
1998.36, 128.616, 91.5076, 87.9546, 1524.594816, 770861
1998.43, 128.575, 91.6322, 87.844, 1631.781376, 770871
1998.33, 128.619, 91.4964, 87.9653, 1740.038944, 770882
1998.42, 128.576, 91.6097, 87.8503, 1846.828672, 770893
1998.42, 128.581, 91.6374, 87.8568, 1946.840384, 770903
1998.42, 128.585, 91.6262, 87.8592, 2046.748384, 770913
1991.99, 128.968, 91.4827, 87.5585, 2147.766112, 770923
1976.14, 129.24, 91.6722, 87.5034, 2242.553024, 770932
1950.09, 129.248, 92.2251, 87.4684, 2335.898912, 770942
1924.14, 129.421, 92.184, 87.3387, 2427.468960, 770951
1895.54, 129.842, 92.8257, 87.4759, 2517.964800, 770960
1865.54, 129.911, 93.7525, 87.5579, 2604.451968, 770969
1833.12, 130.126, 94.1301, 87.4883, 2708.608256, 770979
1796.71, 130.368, 94.4697, 87.6623, 2815.182560, 770990
1763.56, 130.635, 94.6772, 87.5047, 2921.797536, 771000
1727.33, 128.64, 95.1166, 92.3524, 3026.645696, 771011
1695.8, 126.217, 95.9784, 96.2955, 3132.885568, 771021
1658.87, 120.283, 96.2834, 97.1171, 3241.383840, 771032
1622.31, 114.593, 96.7942, 97.2196, 3346.999104, 771043
1585.8, 108.295, 97.3983, 97.355, 3454.320608, 771054
1550.01, 102.076, 97.7971, 97.3062, 3568.051552, 771065
1514.45, 95.5458, 98.1667, 97.4809, 3682.443904, 771076
1474.11, 89.1587, 98.5717, 97.4451, 3798.917216, 771088
1444.19, 84.0747, 98.8315, 97.7648, 3885.933152, 771097
1408.12, 76.572, 99.4497, 97.9054, 3995.261536, 771108
1372.46, 70.8496, 99.7699, 97.8403, 4104.112224, 771119
1339.82, 64.3806, 100.226, 97.8721, 4209.972320, 771129
1303.16, 57.7957, 100.901, 98.0764, 4318.749920, 771140
1267.1, 51.6774, 101.524, 98.4074, 4429.029728, 771151
1230.39, 44.2296, 102.317, 98.2015, 4534.968000, 771162
1194.62, 37.7542, 102.663, 98.4485, 4644.110464, 771173
1161.67, 30.7514, 103.462, 98.1329, 4749.689024, 771183
1125.63, 23.9421, 103.967, 98.3983, 4858.333280, 771194
1090.67, 17.5501, 104.752, 98.8021, 4966.105856, 771205
1057.71, 10.5496, 105.392, 99.0294, 5073.072320, 771215
1028.72, 4.49559, 106.112, 99.0061, 5160.474048, 771224
993.1, -2.49762, 106.469, 99.1577, 5267.123904, 771235
958.05, -9.88255, 107.43, 99.2867, 5377.353088, 771246
922.838, -17.0594, 108.126, 99.4627, 5486.589408, 771257
893.12, -23.2081, 108.561, 99.3759, 5593.747552, 771267
861.32, -30.1185, 109.122, 99.3777, 5701.859296, 771278
829.522, -36.4835, 109.557, 99.4157, 5807.686880, 771289
798.914, -43.3452, 110.262, 99.4302, 5916.109920, 771300
771.194, -49.0104, 110.782, 99.5637, 6021.411968, 771310
741.572, -54.8832, 110.933, 99.7463, 6130.398304, 771321
712.533, -61.0328, 111.445, 99.6318, 6239.227648, 771332
683.98, -67.047, 112.007, 99.6884, 6345.976480, 771343
663.726, -71.4304, 112.098, 99.7128, 6432.888416, 771351
635.001, -77.4706, 112.779, 99.6198, 6542.428128, 771362
607.05, -83.2674, 112.905, 99.5096, 6648.088832, 771373
577.753, -89.3972, 113.894, 99.4354, 6755.950208, 771384
551.546, -94.8034, 114.34, 99.5267, 6860.897984, 771394
522.271, -101.079, 115.492, 99.4367, 6968.587520, 771405
493.576, -107.122, 115.505, 99.3703, 7074.835104, 771416
467.508, -112.729, 116.091, 99.3688, 7183.175520, 771426
438.558, -118.959, 116.953, 99.328, 7288.381408, 771437
409.666, -124.66, 117.662, 99.4373, 7396.310560, 771448
380.71, -130.731, 118.111, 99.5067, 7511.300256, 771459
352.183, -136.966, 118.56, 99.5921, 7618.099808, 771470
328.668, -142.137, 119.158, 99.595, 7705.158688, 771479
302.828, -147.622, 119.636, 99.5913, 7810.648192, 771489
274.272, -152.975, 120.41, 99.7198, 7918.942304, 771500
245.753, -159.289, 120.757, 99.8099, 8029.450880, 771511
216.56, -165.834, 121.799, 99.8667, 8139.589472, 771522
193.15, -170.928, 122.425, 99.9991, 8248.723744, 771531
160.144, -177.949, 123.097, 100.174, 8355.479104, 771544
133.015, -184.166, 123.216, 100.194, 8464.775968, 771555
105.045, -190.719, 123.477, 99.8776, 8576.060032, 771566
80.9067, -196.076, 123.509, 100.055, 8682.629216, 771576
53.9445, -202.29, 124.241, 100.24, 8791.400640, 771587
25.9535, -208.447, 125.524, 99.9955, 8899.163072, 771598
3.00219, -210.546, 128.175, 98.351, 8986.993952, 771607
-23.1307, -219.293, 126.486, 99.998, 9098.145120, 771618
-48.6468, -225.107, 125.545, 100.217, 9205.573664, 771629
-77.7723, -230.992, 125.685, 94.7351, 9316.139456, 771640
-103.29, -237.603, 127.754, 99.7478, 9428.447328, 771651
-128.052, -244.004, 126.733, 100.699, 9534.877248, 771662
-153.504, -248.816, 127.83, 100.293, 9643.212576, 771672
-180.381, -254.467, 128.222, 100.193, 9748.546944, 771683
-206.433, -264.086, 128.981, 109.163, 9859.066176, 771694
-231.409, -282.483, 130.458, 119.321, 9969.840352, 771705
-256.469, -299.43, 129.304, 120.715, 10077.210304, 771716
-280.644, -315.267, 129.476, 120.916, 10187.386912, 771727
-299.758, -327.544, 130.124, 120.884, 10275.780960, 771736
-322.231, -341.852, 130.239, 120.902, 10392.170912, 771747
-351.969, -361.156, 130.955, 121.132, 10530.917280, 771761
-377.502, -374.662, 131.482, 113.364, 10650.697472, 771773
-405.567, -385.047, 132.069, 106.862, 10768.330720, 771785
-431.432, -394.105, 132.457, 106.051, 10878.155232, 771796
-457.284, -402.475, 133.049, 105.939, 10989.619200, 771807
-484.933, -409.609, 134.211, 105.536, 11101.369504, 771818
-513.346, -418.641, 134.428, 105.435, 11219.363200, 771830
-544.669, -428.641, 134.922, 105.49, 11352.286400, 771843
-573.107, -437.76, 136.374, 105.554, 11468.289600, 771855
-597.489, -446.923, 136.115, 105.8, 11582.478048, 771866
-618.891, -453.755, 136.389, 105.704, 11670.556416, 771875
-645.039, -461.628, 137.135, 105.58, 11779.301152, 771886
-673.936, -470.651, 137.13, 105.865, 11893.941152, 771898
-698.88, -479.505, 138.106, 106.029, 12005.380416, 771909
-725.31, -487.893, 138.516, 105.905, 12118.477952, 771920
-744.557, -485.817, 150.584, -104.549, 12227.200512, 771931
-778.214, -501.922, 140.746, 104.534, 12338.515552, 771942
-804.598, -510.093, 140.989, 104.347, 12449.572416, 771953
-829.917, -517.553, 140.438, 104.281, 12556.805312, 771964
-855.546, -525.164, 141.012, 104.246, 12668.284224, 771975
-881.98, -532.581, 141.418, 104.299, 12776.338624, 771986
-907.207, -541.777, 141.8, 110.638, 12886.808352, 771997
-929.034, -550.373, 141.894, 115.352, 12977.644992, 772006
-954.918, -563.402, 142.425, 116.378, 13089.098304, 772017
-979.607, -576.826, 142.73, 116.53, 13203.136864, 772028
-1006.68, -591.636, 143.225, 116.614, 13316.472832, 772040
-1030.9, -605.301, 143.762, 116.69, 13425.812864, 772051
-1059.97, -621.532, 143.366, 116.49, 13554.969824, 772064
-1079.08, -636.629, 148.615, 118.438, 13669.216704, 772075
-1106.26, -651.402, 147.061, 118.518, 13783.272352, 772086
-1128.87, -663.6, 148.982, 117.611, 13897.484256, 772098
-1152.83, -677.376, 149.541, 117.648, 14004.279296, 772109
-1177.45, -690.722, 149.817, 117.657, 14114.723584, 772120
-1201.65, -704.45, 150.798, 117.702, 14224.331104, 772131
-1219.36, -714.139, 150.613, 117.743, 14312.255488, 772139
-1245.94, -725.948, 148.061, 116.258, 14420.751264, 772150
-1268.7, -743.609, 151.386, 118.5, 14530.733504, 772161
-1291.71, -755.164, 151.899, 117.405, 14640.696352, 772172
-1317.21, -767.949, 151.382, 116.921, 14747.255424, 772183
-1343.24, -780.301, 150.238, 116.23, 14857.027872, 772194
-1363.81, -792.839, 152.642, 113.45, 14963.094016, 772204
-1388.52, -803.699, 153.246, 109.677, 15072.670592, 772215
-1412.2, -812.259, 152.907, 108.735, 15182.736864, 772225
-1438.6, -823.767, 154.242, 109.1, 15289.201984, 772237
-1464.79, -833.284, 154.599, 108.998, 15397.241248, 772248
-1489.3, -845.008, 155.671, 110.196, 15503.216704, 772258
-1509.05, -850.27, 155.914, 109.195, 15590.202656, 772267
-1537.33, -860.992, 155.855, 109.22, 15707.398272, 772279
-1565.07, -869.87, 154.274, 108.29, 15817.277472, 772290
-1588.97, -881.111, 157.012, 109.177, 15927.018912, 772301
-1614.79, -891.227, 157.514, 109.047, 16038.798816, 772312
-1641.19, -900.46, 156.817, 108.533, 16145.793120, 772323
-1668.37, -909.828, 156.824, 108.281, 16255.246496, 772334
-1690.96, -919.472, 157.463, 108.544, 16361.681376, 772344
-1718.32, -928.705, 156.387, 107.681, 16472.882880, 772355
-1743.38, -938.758, 157.887, 108.28, 16581.882944, 772366
-1766.93, -948.06, 158.256, 108.215, 16688.309440, 772376
-1795, -959.448, 159.183, 108.11, 16800.100800, 772388
-1817.32, -967.276, 158.648, 107.768, 16892.233088, 772397
-1842.23, -977.125, 161.596, 102.045, 17005.841856, 772409
-1871.05, -983.468, 162.061, 97.0056, 17119.734080, 772420
-1899.66, -989.304, 162.032, 96.063, 17227.720800, 772431
-1928.31, -988.996, 155.925, 93.3269, 17337.166784, 772442
-1954.87, -993.218, 156.193, 93.7025, 17443.869504, 772453
-1982.12, -996.853, 156.849, 93.7846, 17556.447616, 772464
