X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
164.647, -1837.7, 122.814, 79.0625, 1.5811, 1.03961, image00001.jpg, 131.731040, 255902, 136.062500, -3.187500, -4.000000
164.496, -1837.65, 122.94, 79.1178, 1.64949, 0.9711, image00002.jpg, 262.086528, 255913, 136.062500, -3.187500, -4.125000
164.515, -1837.59, 122.764, 79.1149, 1.91353, 0.891192, image00003.jpg, 389.699008, 255923, 136.062500, -3.187500, -4.187500
164.648, -1837.69, 122.778, 79.0817, 1.49307, 1.06991, image00004.jpg, 519.112576, 255943, 136.062500, -3.187500, -4.250000
164.49, -1837.65, 122.931, 79.1172, 1.65234, 0.972149, image00005.jpg, 649.944448, 255954, 136.062500, -3.125000, -4.312500
164.43, -1837.58, 122.874, 79.1197, 1.82289, 0.985027, image00006.jpg, 785.461696, 255972, 136.062500, -3.125000, -4.375000
164.624, -1837.49, 122.874, 79.2541, 1.65297, 0.844757, image00007.jpg, 917.444768, 255985, 136.062500, -3.125000, -4.375000
164.543, -1837.49, 122.968, 79.2416, 1.59578, 0.943101, image00008.jpg, 1053.333088, 255998, 136.062500, -3.125000, -4.375000
155.957, -1835.99, 123.3, 79.4039, 1.41779, 0.92117, image00009.jpg, 1185.423744, 256012, 136.062500, -3.187500, -4.375000
134.851, -1832.83, 123.535, 79.2967, 1.29371, 0.918394, image00010.jpg, 1317.844288, 256025, 136.062500, -3.250000, -4.437500
105.665, -1828.08, 123.799, 79.2839, 1.40518, 0.720249, image00011.jpg, 1453.293888, 256038, 136.062500, -3.437500, -4.562500
69.1519, -1823.65, 123.849, 78.8044, 2.04678, 0.928978, image00012.jpg, 1585.919776, 256052, 136.062500, -3.375000, -4.437500
36.2728, -1817.5, 124.261, 79.4548, 1.39235, 0.581973, image00013.jpg, 1717.617216, 256064, 135.937500, -3.500000, -4.562500
2.44136, -1812.75, 124.976, 79.2581, 1.51295, 0.750229, image00014.jpg, 1853.142624, 256076, 136.000000, -3.375000, -4.375000
-27.7916, -1807.77, 125.13, 79.1872, 1.04681, 0.703033, image00015.jpg, 1986.159168, 256087, 135.937500, -3.437500, -4.437500
-56.579, -1804, 124.925, 78.9355, 1.34758, 1.07986, image00016.jpg, 2118.360544, 256097, 135.875000, -3.500000, -4.562500
-110.324, -1795.12, 126.397, 79.7081, 0.769199, 0.540674, image00017.jpg, 2253.603520, 256116, 135.812500, -3.312500, -4.500000
-144.958, -1790, 126.418, 79.7415, 1.37341, 0.754152, image00018.jpg, 2385.711744, 256128, 135.625000, -3.125000, -4.500000
-173.812, -1785.79, 126.905, 79.9062, 1.466, 0.877954, image00019.jpg, 2521.426560, 256138, 135.812500, -3.000000, -4.437500
-202.121, -1781.09, 127.505, 78.5702, 1.36433, 1.03129, image00020.jpg, 2655.659488, 256148, 141.000000, -3.500000, -4.375000
-267.682, -1766.61, 128.203, 71.8375, 1.60151, 0.632417, image00021.jpg, 2785.359232, 256172, 143.250000, -3.625000, -4.312500
