X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
178.693, -1878.38, 123.016, 81.6211, 1.24457, 1.04476, image00001.jpg, 133.471072, 282506, 123.937500, -3.375000, -4.250000
178.739, -1878.41, 123.008, 81.5674, 1.26226, 1.01562, image00002.jpg, 262.553760, 282517, 123.937500, -3.312500, -4.312500
165.668, -1876.7, 123.214, 81.32, 1.41859, 1.06236, image00003.jpg, 391.926016, 282537, 124.187500, -3.312500, -4.312500
141.974, -1873.88, 123.397, 81.1601, 1.6521, 0.781696, image00004.jpg, 522.626816, 282547, 124.312500, -3.375000, -4.437500
106.888, -1868.84, 124.155, 81.0472, 0.744751, 0.675825, image00005.jpg, 652.901600, 282558, 124.500000, -3.437500, -4.500000
26.4469, -1859.18, 124.577, 80.3711, 1.08172, 0.600219, image00006.jpg, 788.519328, 282579, 124.750000, -3.500000, -4.375000
-27.2548, -1851.79, 124.926, 80.5339, 1.51409, 0.674888, image00007.jpg, 920.641920, 282592, 124.625000, -3.625000, -4.437500
-79.8578, -1844.44, 125.935, 80.8603, 1.22226, 0.727115, image00008.jpg, 1052.186656, 282605, 124.500000, -3.437500, -4.562500
-135.229, -1837.81, 126.309, 80.6612, 1.25761, 0.862569, image00009.jpg, 1188.098272, 282619, 124.625000, -3.375000, -4.500000
-184.02, -1831, 127.316, 80.4496, 1.1757, 1.05271, image00010.jpg, 1320.829184, 282632, 124.750000, -3.250000, -4.562500
-229.59, -1820.5, 128.156, 70.5773, 1.08911, 0.666754, image00011.jpg, 1456.651488, 282646, 133.750000, -3.812500, -4.250000
-270.432, -1807.62, 128.513, 67.369, 1.54493, 0.582645, image00012.jpg, 1588.863392, 282659, 137.687500, -4.125000, -4.125000
-308.508, -1793.44, 129.131, 67.1035, 1.20308, 0.598618, image00013.jpg, 1720.579776, 282672, 138.187500, -4.187500, -4.125000
-346.628, -1778.71, 130.115, 66.7906, 1.29065, 0.490158, image00014.jpg, 1855.762400, 282685, 138.312500, -4.187500, -4.125000
-383.636, -1760.87, 131.008, 60.0641, 1.31611, 0.455535, image00015.jpg, 1988.680992, 282699, 144.375000, -4.500000, -3.750000
-418.229, -1743.39, 131.107, 57.573, 1.64622, 0.368207, image00016.jpg, 2121.030336, 282712, 147.437500, -4.500000, -3.625000
-451.879, -1723.39, 131.992, 57.5706, 1.06898, 0.453344, image00017.jpg, 2255.508224, 282725, 147.687500, -4.562500, -3.625000
-489.333, -1701.59, 132.868, 56.8378, 1.1485, 0.504762, image00018.jpg, 2388.553792, 282739, 147.750000, -4.687500, -3.687500
-519.253, -1678.59, 133.521, 47.2494, 0.901957, 0.189198, image00019.jpg, 2524.780128, 282752, 157.437500, -5.125000, -3.187500
-554.19, -1651.45, 132.438, 42.5677, -0.204296, -0.0768926, image00020.jpg, 2655.889152, 282766, 163.687500, -5.625000, -2.750000
-583.975, -1616.91, 135.02, 40.8359, 0.614371, -0.103047, image00021.jpg, 2789.520832, 282779, 164.625000, -5.750000, -2.687500
-614.417, -1587.9, 132.099, 40.3123, 0.711335, 0.00825228, image00022.jpg, 2924.050176, 282792, 164.812500, -5.625000, -2.687500
-638.135, -1555.08, 133.2, 29.4529, 0.67336, 0.771238, image00023.jpg, 3056.650976, 282805, 174.625000, -5.812500, -1.875000
-658.712, -1513.2, 136.013, 23.0918, 0.742735, -0.135486, image00024.jpg, 3188.485600, 282819, 182.000000, -6.000000, -1.250000
-677.401, -1473.9, 135.837, 21.9832, 0.869822, -0.381439, image00025.jpg, 3324.620800, 282832, 183.437500, -5.812500, -1.125000
-691.342, -1434.3, 136.241, 12.7873, 0.673714, -0.602926, image00026.jpg, 3456.491104, 282845, 191.875000, -5.875000, -0.562500
-698.47, -1392.84, 136.527, -2.10527, 0.250285, -0.971856, image00027.jpg, 3589.332096, 282859, 205.500000, -5.812500, 0.500000
-699.093, -1351.17, 136.95, -6.60506, 0.0768045, -0.727922, image00028.jpg, 3724.478784, 282872, 211.562500, -5.750000, 1.000000
-695.152, -1304.27, 136.939, -7.76091, 0.167439, -0.837412, image00029.jpg, 3855.963712, 282886, 212.437500, -5.875000, 1.000000
-688.34, -1263.27, 136.814, -15.0764, -0.101516, -1.03183, image00030.jpg, 3992.315328, 282899, 218.812500, -5.625000, 1.562500
-675.433, -1226.46, 136.468, -27.1292, -0.465092, -0.641189, image00031.jpg, 4124.257792, 282912, 231.625000, -5.187500, 2.437500
-655.192, -1184.94, 136.325, -31.2798, -0.501388, -0.376419, image00032.jpg, 4256.887776, 282926, 236.250000, -5.062500, 2.750000
-634.075, -1147.65, 135.9, -31.6976, -0.58048, -0.455293, image00033.jpg, 4392.629024, 282939, 236.750000, -5.062500, 2.750000
-612.068, -1109.39, 135.505, -32.152, -0.622081, -0.378733, image00034.jpg, 4525.134752, 282952, 237.062500, -5.062500, 2.875000
-588.311, -1074.43, 135.019, -40.7026, -0.702228, -0.167384, image00035.jpg, 4656.564608, 282965, 245.125000, -4.625000, 3.250000
-561.551, -1046.58, 134.304, -52.7907, -1.04058, 0.313939, image00036.jpg, 4792.882112, 282978, 257.250000, -4.062500, 3.812500
-536.655, -1024.89, 133.968, -56.5907, -0.848619, 0.283335, image00037.jpg, 4924.872544, 282988, 262.062500, -3.562500, 4.000000
-510.097, -1005.9, 133.56, -57.6737, -0.886822, 0.636797, image00038.jpg, 5060.191072, 282998, 262.750000, -3.625000, 4.000000
-481.686, -986.862, 132.533, -57.9531, -1.11654, 0.517034, image00039.jpg, 5192.717536, 283008, 262.625000, -3.625000, 4.000000
-420.268, -945.99, 131.464, -57.7895, -1.00254, 0.459072, image00040.jpg, 5324.641728, 283029, 262.687500, -3.562500, 4.062500
-391.104, -926.5, 131.017, -57.7957, -0.878061, 0.540099, image00041.jpg, 5459.964544, 283039, 262.625000, -3.625000, 4.000000
-361.147, -905.499, 130.286, -56.3364, -1.04188, 0.413464, image00042.jpg, 5592.591008, 283049, 257.000000, -4.000000, 3.750000
-303.232, -853.283, 129.122, -42.215, -0.965305, 0.153878, image00043.jpg, 5724.571328, 283070, 247.000000, -4.750000, 3.250000
-281.331, -821.641, 128.591, -32.2766, -0.657298, -0.248616, image00044.jpg, 5859.861280, 283080, 232.875000, -5.375000, 2.437500
-263.336, -787.007, 128.538, -24.5475, -0.565485, -0.390245, image00045.jpg, 5992.730912, 283090, 227.500000, -5.687500, 2.062500
-237.782, -710.918, 128.304, -13.1622, -0.336999, -0.556735, image00046.jpg, 6124.752224, 283111, 218.812500, -5.875000, 1.500000
-233.368, -673.519, 127.925, -1.37642, -0.113634, -0.727752, image00047.jpg, 6260.083648, 283121, 202.375000, -6.187500, 0.187500
