X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Timestamp [ms], Frame
875.638, 1504.21, 112.797, -141.815, 1.66554, -0.316126, 102.159981, 13950
875.617, 1504.21, 112.745, -141.831, 1.67732, -0.262408, 223.310996, 13962
875.63, 1504.21, 112.795, -141.814, 1.65865, -0.304048, 353.689754, 13975
875.597, 1504.21, 112.733, -141.835, 1.67526, -0.253129, 485.274487, 13988
875.603, 1504.21, 112.727, -141.83, 1.67372, -0.255217, 617.497424, 14001
876.356, 1502.34, 112.806, -141.517, 1.58172, -0.18218, 753.928971, 14015
899.559, 1468.8, 112.256, -142.614, 1.64164, -0.215157, 886.370146, 14028
944.782, 1413.46, 112.393, -143.035, 0.586724, 1.60867, 1017.783617, 14041
964.481, 1386.56, 111.639, -141.314, 0.413943, 1.56129, 1119.295795, 14051
968.312, 1381.19, 111.508, -141.097, 0.263022, 1.49723, 1222.254491, 14062
968.259, 1381.26, 111.473, -141.105, 0.276429, 1.4894, 1327.370547, 14072
968.266, 1381.26, 111.483, -141.097, 0.274606, 1.48407, 1431.723153, 14083
968.263, 1381.28, 111.487, -141.102, 0.271127, 1.49043, 1534.807768, 14093
968.27, 1381.24, 111.46, -141.102, 0.289035, 1.48926, 1649.958729, 14104
968.262, 1381.3, 111.466, -141.076, 0.205928, 1.39172, 1776.141485, 14117
984.302, 1362.37, 111.029, -141.228, 0.182367, 1.37317, 1899.176359, 14129
1013.84, 1328.84, 110.069, -141.025, 0.261818, 1.46742, 2022.484158, 14142
1044.11, 1294.47, 109.247, -140.684, 0.300784, 1.5206, 2142.745644, 14154
1072.53, 1263.09, 108.575, -140.332, 0.206693, 1.70755, 2270.883106, 14166
1096.08, 1237.14, 107.402, -140.11, 0.112981, 1.72308, 2373.077135, 14177
1116.85, 1214.39, 106.852, -140.067, 0.030855, 1.82754, 2473.973701, 14187
1136.94, 1191.96, 106.18, -139.904, 0.110991, 1.8069, 2574.341663, 14197
1163.12, 1163.18, 105.607, -139.954, -0.0209359, 1.83046, 2703.083089, 14210
1183.25, 1140.94, 104.781, -139.728, 0.0222827, 1.75735, 2806.033144, 14220
1203.44, 1118.9, 104.159, -139.674, -0.096204, 1.72058, 2906.542577, 14230
1224.85, 1095.81, 103.832, -139.694, -0.255181, 1.80202, 3019.816656, 14241
1246.16, 1072.23, 102.8, -139.833, -0.143972, 1.69634, 3126.597725, 14252
1265.46, 1050.91, 102.424, -139.804, -0.148797, 1.6757, 3228.537932, 14262
1290.16, 1023.46, 101.727, -139.764, 0.0418631, 1.66887, 3356.708481, 14275
1309.97, 1001.84, 101.017, -139.53, 0.0437932, 1.52322, 3460.598787, 14285
1331.94, 978.583, 100.464, -139.39, 0.101229, 1.75154, 3561.930006, 14296
1356.92, 953.974, 99.8047, -135.178, -0.0191146, 1.6798, 3690.370377, 14308
1380, 932.848, 99.0408, -133.229, -0.0955165, 1.57066, 3794.845734, 14319
1401.95, 913.919, 98.502, -132.794, 0.00829222, 1.58347, 3895.185185, 14329
1431.08, 889.113, 97.5331, -132.552, 0.0451404, 1.53129, 4023.900882, 14342
1456.98, 867.059, 96.9014, -132.368, 0.135577, 1.73802, 4133.730122, 14353
1482.41, 845.644, 96.0591, -132.208, 0.00100389, 1.59072, 4237.210638, 14363
1507.66, 823.688, 95.5336, -140.207, -0.120314, 1.4625, 4343.208032, 14374
1526.59, 802.516, 95.1844, -144.142, -0.107429, 1.39102, 4449.272498, 14383
1549.88, 773.054, 94.6771, -145.032, 0.00520523, 1.43178, 4550.889251, 14394
1573.35, 741.997, 94.0541, -145.072, -0.0494672, 1.33429, 4651.761273, 14405
1601.68, 704.495, 93.2236, -144.924, -0.0838271, 1.24361, 4781.882913, 14418
1625.49, 669.239, 92.6796, -150.114, 0.0521062, 1.17059, 4903.961026, 14430
1644.6, 638.16, 92.2585, -153.706, 0.197587, 1.07067, 5007.812419, 14440
1665.55, 600.827, 91.6458, -154.167, 0.12961, 1.12594, 5113.265529, 14451
1684.04, 566.157, 91.2791, -154.126, 0.0348446, 1.13983, 5214.245071, 14461
1702.14, 531.14, 90.7618, -153.979, 0.0140501, 1.14587, 5315.058598, 14471
1720.97, 495.997, 90.2366, -153.901, 0.250628, 1.12751, 5417.273395, 14481
1740.03, 457.177, 89.3428, -158.658, 0.080685, 1.15427, 5530.769104, 14492
1756.31, 417.01, 89.2168, -163.681, -0.0235738, 1.10775, 5637.328575, 14503
1770.74, 374.071, 88.5436, -164.188, 0.152832, 1.04903, 5746.470139, 14514
1784.81, 330.483, 87.9124, -163.997, 0.217253, 1.04184, 5852.666347, 14525
1797.57, 291.33, 87.2288, -163.799, 0.282975, 1.0878, 5961.329771, 14535
1810.83, 244.683, 86.906, -170.141, 0.420727, 1.09007, 6072.066428, 14547
1815.38, 207.621, 86.2647, -179.613, 0.287225, 0.83887, 6179.815425, 14557
1816.54, 162.87, 86.1591, 174.296, 0.156215, 0.898833, 6285.868339, 14568
1813.84, 116.192, 85.9789, 173.29, 0.313953, 0.682825, 6394.971408, 14579
1810.2, 74.0735, 85.4352, 173.34, 0.474345, 0.639677, 6498.697714, 14589
1806.92, 32.5778, 83.5613, 173.665, 0.154537, -0.96781, 6607.934925, 14599
1803.67, -18.4079, 84.3329, 173.807, 0.476623, 0.592838, 6720.561681, 14611
1799.39, -73.7229, 84.2501, 174.249, 0.600393, 0.728953, 6844.109479, 14624
1796.52, -116.337, 83.7947, 174.312, 0.0840088, -0.0934133, 6950.819028, 14634
1790.86, -166.578, 83.3355, 168.053, 0.204334, 0.710697, 7064.742254, 14646
1781.75, -212.856, 83.1244, 163.814, -0.100052, 0.285831, 7174.461574, 14657
1771.62, -256.467, 83.8468, 163.241, 0.0759234, 0.713866, 7280.955829, 14667
1758.03, -307.643, 82.7805, 163.375, -0.137336, 0.375558, 7392.526656, 14679
1745.51, -355.435, 83.0669, 163.482, 0.0553078, 0.630446, 7501.736507, 14690
1732.15, -403.594, 83.4207, 159.663, -0.10139, 0.531157, 7613.726243, 14701
1715.32, -451.518, 84.1059, 156.412, -0.224247, 0.668339, 7727.108449, 14712
1694.32, -503.226, 83.9226, 155.874, -0.251776, 0.472722, 7841.754839, 14724
1674.3, -552.081, 84.4806, 155.767, -0.72125, -0.279332, 7951.494510, 14735
1655.91, -597.625, 84.7947, 155.849, -0.659869, -0.0167292, 8057.186371, 14745
1636.48, -646.814, 84.8967, 155.916, -0.657921, 0.0874669, 8167.227256, 14756
1615.65, -696.657, 85.3525, 153.015, -0.408655, 0.547751, 8273.982629, 14767
1592.31, -742.847, 85.7776, 146.316, -0.358161, 0.644838, 8387.128165, 14778
1565.21, -787.436, 84.8435, 139.735, 0.427826, -0.0100328, 8496.615295, 14789
1531.02, -823.045, 85.7977, 129.567, -0.306248, 0.469744, 8602.606001, 14800
1492.84, -851.828, 87.767, 123.22, -1.11234, 0.712737, 8705.907190, 14810
1447.64, -884.034, 88.4538, 122.434, -0.811444, 0.970852, 8813.033057, 14821
1397.77, -918.58, 89.7399, 122.776, -0.588135, 0.942085, 8931.771961, 14833
1357.19, -949.617, 89.5735, 124.317, 0.0212577, 0.801856, 9045.991313, 14843
1307.64, -985.635, 90.5156, 125.176, 0.243426, 0.322156, 9170.135939, 14855
1254.13, -1024.72, 91.4292, 125.653, 0.191342, 0.435467, 9284.014461, 14868
1205.97, -1053.74, 90.7527, 125.225, 3.52551, -0.146838, 9398.498644, 14879
1164.58, -1092.29, 92.8832, 126.985, 0.63966, 0.434017, 9508.758184, 14890
1120.1, -1126.54, 93.8961, 127.586, 0.731224, 0.333864, 9615.482453, 14901
1075.65, -1161.49, 93.9788, 128.054, 0.771027, 0.661916, 9730.074922, 14912
1030.23, -1196.93, 95.1183, 128.359, 0.989471, 0.321418, 9839.498468, 14923
984.786, -1232.41, 95.9475, 128.541, 0.663409, 0.379329, 9944.340895, 14934
943.829, -1264.34, 96.6311, 126.01, 0.687325, 0.396444, 10048.603005, 14944
898.367, -1294.22, 98.6326, 115.947, 0.051775, 0.67935, 10153.316825, 14955
854.816, -1311.35, 101.279, 109.104, -0.411507, 1.33954, 10261.512315, 14965
803.004, -1333.6, 98.0428, 108.111, 2.56807, -1.10908, 10365.571803, 14976
748.712, -1352.19, 99.073, 108.033, 2.52153, -1.21238, 10473.194434, 14987
699.051, -1369.81, 100.083, 108.367, 2.36826, -1.17856, 10578.247547, 14997
638.605, -1390.67, 99.9761, 105.433, 2.987, -2.16402, 10694.174183, 15009
593.604, -1401.85, 105.994, 98.885, -0.0701605, 0.942482, 10816.138633, 15018
525.965, -1413.24, 107.125, 88.1338, -0.606089, 1.33134, 10922.321978, 15032
