X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1573.62, -90.4371, 98.267, 102.222, 0.119196, 2.65999, image00001.jpg, 131.705760, 208176, 164.875000, -1.750000, -0.500000
1573.59, -90.4217, 98.259, 102.229, 0.157333, 2.68072, image00002.jpg, 260.837664, 208187, 164.875000, -1.750000, -0.500000
1573.63, -90.4296, 98.2638, 102.221, 0.159234, 2.66893, image00003.jpg, 390.012160, 208207, 164.875000, -1.750000, -0.500000
1573.62, -90.4403, 98.2568, 102.22, 0.148038, 2.6685, image00004.jpg, 522.692064, 208217, 164.875000, -1.687500, -0.500000
1569.76, -91.5588, 98.3662, 102.379, 2.65521, 1.74729, image00005.jpg, 654.612928, 208228, 164.812500, -1.750000, -0.562500
1555.21, -94.4271, 98.3992, 102.352, -0.131304, 2.43314, image00006.jpg, 786.327488, 208238, 164.750000, -1.812500, -0.562500
1513.07, -104.234, 99.7917, 102.751, 1.04607, 1.25574, image00007.jpg, 922.215200, 208258, 164.562500, -1.812500, -0.625000
1486.77, -109.139, 100.61, 102.377, 1.33706, 2.68346, image00008.jpg, 1054.626400, 208268, 164.250000, -1.937500, -0.687500
1458.34, -115.441, 100.705, 102.803, 0.407424, 2.89178, image00009.jpg, 1189.783296, 208279, 164.000000, -1.812500, -0.625000
1405.77, -126.687, 104.258, 103.669, 0.865533, 1.19622, image00010.jpg, 1322.173440, 208299, 163.812500, -1.875000, -0.625000
1379.52, -132.914, 104.398, 104.116, -0.172931, 1.48175, image00011.jpg, 1454.628480, 208309, 163.375000, -1.812500, -0.750000
1349.83, -139.853, 105.56, 106.327, 1.08217, 1.31634, image00012.jpg, 1589.573120, 208320, 157.062500, -2.125000, -0.875000
1295.72, -159.443, 106.299, 114.253, 1.4228, 1.36516, image00013.jpg, 1722.708480, 208340, 153.187500, -2.187500, -1.000000
1270.52, -170.915, 106.466, 115.114, 1.09863, 1.53115, image00014.jpg, 1858.179136, 208350, 152.312500, -2.312500, -1.062500
1243.58, -183.579, 107.251, 115.382, 0.962162, 1.54384, image00015.jpg, 1989.736320, 208361, 152.187500, -2.062500, -0.937500
1194.44, -206.909, 108.198, 115.553, 1.17214, 1.66653, image00016.jpg, 2123.655904, 208381, 152.000000, -2.125000, -0.875000
1169.77, -218.525, 108.522, 115.908, 0.873634, 1.69935, image00017.jpg, 2258.953280, 208391, 151.562500, -2.062500, -1.000000
1141.89, -231.935, 109.312, 119.511, 0.673978, 1.46048, image00018.jpg, 2390.055648, 208402, 145.312500, -2.312500, -1.187500
1119.22, -244.032, 109.277, 124.205, 0.581893, 1.68943, image00019.jpg, 2522.577440, 208411, 141.750000, -2.312500, -1.187500
1072.24, -277.605, 110.435, 126.54, 0.620941, 1.90692, image00020.jpg, 2658.296544, 208432, 141.125000, -2.312500, -1.250000
1048.58, -294.757, 111.206, 126.817, 0.42597, 1.67842, image00021.jpg, 2789.755008, 208443, 140.875000, -2.125000, -1.187500
1028.61, -309.2, 111.462, 126.811, 0.601661, 1.97569, image00022.jpg, 2922.216288, 208453, 140.937500, -2.062500, -1.312500
990.9, -336.601, 112.352, 126.912, 0.513173, 1.95662, image00023.jpg, 3058.013536, 208473, 140.812500, -2.062500, -1.312500
970.897, -351.246, 112.822, 126.96, 0.533142, 2.03318, image00024.jpg, 3190.274944, 208484, 140.750000, -2.062500, -1.375000
952.264, -364.933, 113.272, 127.003, 0.553153, 1.98272, image00025.jpg, 3326.115744, 208494, 140.625000, -2.250000, -1.312500
915.775, -391.98, 114.254, 127.34, 0.506156, 1.97382, image00026.jpg, 3458.130176, 208514, 140.437500, -2.250000, -1.312500
897.528, -405.666, 114.682, 127.513, 0.518887, 2.00308, image00027.jpg, 3590.049216, 208524, 140.250000, -2.250000, -1.312500
877.391, -420.853, 115.004, 127.684, 0.391442, 1.96591, image00028.jpg, 3726.218592, 208535, 140.062500, -2.250000, -1.375000
848.01, -442.945, 115.594, 127.766, 0.47984, 1.9532, image00029.jpg, 3858.431264, 208551, 139.937500, -2.250000, -1.375000
814.949, -467.892, 116.247, 128.142, 0.368219, 1.90919, image00030.jpg, 3990.279968, 208569, 139.687500, -2.187500, -1.500000
789.403, -487.601, 117.262, 128.247, 0.595881, 1.83271, image00031.jpg, 4126.415808, 208583, 139.562500, -2.375000, -1.437500
765.84, -505.757, 117.602, 128.367, 0.522337, 1.80888, image00032.jpg, 4258.522720, 208596, 139.437500, -2.375000, -1.437500
741.9, -524.501, 117.857, 128.628, 0.558934, 1.91994, image00033.jpg, 4390.541920, 208609, 139.187500, -2.437500, -1.375000
716.803, -544.474, 118.522, 128.822, 0.623432, 1.79861, image00034.jpg, 4526.655616, 208623, 139.062500, -2.437500, -1.312500
693.119, -562.944, 118.932, 128.958, 0.647929, 1.8921, image00035.jpg, 4659.215008, 208636, 138.875000, -2.500000, -1.375000
668.089, -582.48, 119.42, 127.945, 0.580684, 1.82159, image00036.jpg, 4795.654592, 208650, 139.000000, -2.437500, -1.437500
643.122, -597.708, 119.93, 118.832, 0.659075, 1.79077, image00037.jpg, 4926.008096, 208663, 147.625000, -2.250000, -1.125000
614.655, -611.804, 120.586, 116.037, 0.755573, 1.79612, image00038.jpg, 5059.017728, 208676, 151.625000, -2.062500, -0.875000
586.147, -624.254, 121.215, 110.379, 0.95125, 1.83745, image00039.jpg, 5194.839296, 208690, 156.187500, -1.812500, -0.625000
557.925, -634.744, 121.686, 107.396, 0.459919, 1.70586, image00040.jpg, 5325.911520, 208703, 160.250000, -1.750000, -0.625000
535.925, -641.56, 122.115, 107.145, 0.791226, 1.60037, image00041.jpg, 5428.133440, 208713, 160.625000, -1.750000, -0.625000
509.904, -649.254, 123.214, 107.046, 0.803641, 1.53142, image00042.jpg, 5557.799968, 208725, 160.562500, -1.687500, -0.500000
480.412, -655.981, 123.236, 98.3281, 0.828276, 1.05823, image00043.jpg, 5688.121664, 208739, 168.312500, -1.375000, -0.375000
468.106, -660.573, 123.087, 95.2808, 1.14995, 0.975839, image00044.jpg, 5817.611520, 208751, 172.187500, -1.187500, -0.312500
468.458, -660.695, 122.814, 95.4512, 1.03918, 0.710604, image00045.jpg, 5948.742880, 208760, 172.312500, -1.187500, -0.312500
