X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1618.49, -144.557, 96.5225, 3.92106, 0.626649, 0.316672, image00001.jpg, 135.482048, 286931, 281.125000, -1.437500, -0.375000
1618.48, -144.551, 96.4957, 3.91423, 0.633788, 0.287915, image00002.jpg, 267.269216, 286950, 281.125000, -1.437500, -0.375000
1618.48, -144.561, 96.5176, 3.92542, 0.625735, 0.281442, image00003.jpg, 396.667776, 286967, 281.125000, -1.437500, -0.375000
1618.47, -144.553, 96.5047, 3.92553, 0.626269, 0.319535, image00004.jpg, 525.852480, 286980, 281.125000, -1.437500, -0.375000
1618.49, -144.558, 96.5256, 3.91992, 0.625457, 0.280853, image00005.jpg, 655.477856, 286993, 281.125000, -1.437500, -0.375000
1618.49, -144.546, 96.5134, 3.92069, 0.633743, 0.319354, image00006.jpg, 791.841216, 287007, 281.125000, -1.437500, -0.375000
1618.44, -143.848, 96.5311, 3.89574, 0.648992, 0.292931, image00007.jpg, 923.575008, 287020, 281.062500, -1.437500, -0.375000
1617.28, -126.27, 96.3546, 3.86557, 0.707954, 0.26325, image00008.jpg, 1055.895872, 287033, 281.125000, -1.375000, -0.375000
1615.77, -95.4268, 96.6144, 4.05924, 0.129001, 1.81271, image00009.jpg, 1187.719904, 287046, 281.125000, -1.562500, -0.312500
1613.67, -66.5926, 101.055, 4.02873, -0.601878, -0.996197, image00010.jpg, 1323.537376, 287056, 280.812500, -1.500000, -0.312500
1611.24, -35.0949, 101.217, 4.16737, -0.668422, -1.64816, image00011.jpg, 1458.592960, 287067, 280.625000, -1.750000, -0.312500
1608.57, -5.77169, 101.243, 4.2968, -0.795407, -1.70194, image00012.jpg, 1591.166944, 287077, 280.437500, -1.750000, -0.250000
1602.67, 53.3899, 101.606, 4.91348, -0.180678, -1.17306, image00013.jpg, 1723.391488, 287097, 280.312500, -1.562500, -0.250000
1600.55, 86.1753, 99.3644, 4.61482, -1.56763, -1.81062, image00014.jpg, 1861.347136, 287108, 280.250000, -1.500000, -0.250000
1598.52, 115.819, 99.3394, 4.78157, -1.5317, -1.70968, image00015.jpg, 1992.181376, 287118, 280.125000, -1.625000, -0.312500
1590.24, 175.433, 99.9203, 13.4719, -0.677759, -1.60804, image00016.jpg, 2123.875264, 287138, 271.562500, -2.000000, -0.562500
1580.15, 222.944, 96.6965, 18.1772, -0.659037, 4.49241, image00017.jpg, 2260.626720, 287154, 267.312500, -2.125000, -0.562500
1566.35, 260.262, 100.294, 18.4483, -0.123697, 0.258392, image00018.jpg, 2393.588704, 287167, 266.375000, -2.062500, -0.625000
1553.71, 297.316, 100.838, 19.0686, 0.383195, -0.401342, image00019.jpg, 2524.963424, 287180, 266.312500, -2.187500, -0.562500
1541.05, 337.025, 100.65, 18.7377, 0.147617, -1.14752, image00020.jpg, 2659.967584, 287194, 266.250000, -2.062500, -0.687500
1528, 374.608, 100.081, 18.672, 0.532542, -1.44686, image00021.jpg, 2792.160288, 287207, 266.125000, -2.125000, -0.687500
1515.1, 411.373, 101.293, 19.2593, 0.735092, -0.299636, image00022.jpg, 2927.432800, 287220, 266.000000, -2.187500, -0.625000
1501.65, 451.017, 101.061, 19.2465, 0.527495, -0.0221144, image00023.jpg, 3059.707776, 287234, 265.937500, -2.062500, -0.625000
1489.04, 487.438, 100.839, 19.0251, 0.499287, -0.797446, image00024.jpg, 3192.060000, 287247, 265.937500, -1.875000, -0.625000
1479.17, 515.87, 101.159, 19.3727, 0.521897, -0.447088, image00025.jpg, 3292.553056, 287257, 265.937500, -1.937500, -0.687500
1466.63, 552.116, 101.116, 19.3012, 0.44962, -0.778996, image00026.jpg, 3423.468480, 287270, 265.937500, -1.937500, -0.750000
1454.5, 588.364, 101.528, 19.4974, -0.0163048, -0.256803, image00027.jpg, 3554.183968, 287283, 265.875000, -2.062500, -0.750000
1447.07, 614.64, 101.851, 15.7928, 0.23606, -0.0399652, image00028.jpg, 3654.331456, 287293, 268.312500, -1.750000, -0.625000
1441.04, 646.307, 101.715, 7.56284, -0.290402, -0.178616, image00029.jpg, 3784.874368, 287306, 276.625000, -1.437500, -0.562500
1436.5, 677.956, 101.578, 4.57269, -0.491787, -0.0468808, image00030.jpg, 3914.964384, 287319, 280.750000, -1.437500, -0.500000
1434.51, 702.315, 101.24, 4.27091, -0.294121, 0.32917, image00031.jpg, 4015.116416, 287329, 281.250000, -1.500000, -0.562500
1432.2, 733.91, 101.323, 4.12478, 0.32432, -0.305728, image00032.jpg, 4145.175872, 287342, 281.250000, -1.375000, -0.562500
1430.13, 764.717, 100.974, 4.0376, 0.205145, 0.108165, image00033.jpg, 4275.341376, 287355, 281.125000, -1.312500, -0.437500
1428.62, 794.959, 101.928, 4.05642, 0.751754, -0.181081, image00034.jpg, 4403.894304, 287368, 281.062500, -1.312500, -0.500000
1426.51, 825.037, 102.017, 4.20904, 0.827247, -0.141768, image00035.jpg, 4534.450592, 287381, 280.937500, -1.250000, -0.562500
1424.94, 844.769, 103.616, 3.50174, 1.75766, -0.550552, image00036.jpg, 4662.145856, 287394, 281.000000, 0.500000, -0.375000
1423.91, 861.797, 105.902, 3.34271, 3.12969, -0.876234, image00037.jpg, 4792.435872, 287407, 281.000000, 2.000000, -0.312500
1421.79, 879.427, 107.72, 4.13305, 4.91256, 0.117252, image00038.jpg, 4923.281280, 287420, 280.750000, 3.187500, -0.375000
1420.39, 892.032, 107.481, 4.2436, 4.68189, -0.0345102, image00039.jpg, 5053.281408, 287433, 280.750000, 3.000000, -0.187500
1420.64, 891.925, 107.396, 4.30046, 4.77786, 0.0603922, image00040.jpg, 5184.306368, 287446, 280.625000, 2.812500, -0.250000
1420.6, 891.929, 107.394, 4.29923, 4.75901, 0.041169, image00041.jpg, 5287.071936, 287456, 280.625000, 2.812500, -0.187500
1420.61, 891.937, 107.416, 4.28499, 4.76044, 0.00732819, image00042.jpg, 5389.027424, 287463, 280.625000, 2.875000, -0.187500
1420.6, 891.945, 107.401, 4.29805, 4.7644, 0.0286359, image00043.jpg, 5517.188160, 287476, 280.625000, 2.937500, -0.125000
