X [mm], Y [mm], Z [mm], Heading [degrees], Timestamp [ms], Frame
2428.44, 188.508, 84.2889, 88.1679, 60.457728, 775821
2428.41, 188.507, 84.2911, 88.1614, 157.225024, 775831
2428.41, 188.51, 84.2694, 88.1584, 256.065440, 775840
2428.41, 188.503, 84.2863, 88.1568, 358.735808, 775851
2428.39, 188.375, 84.3535, 88.1711, 454.302464, 775860
2428.41, 188.501, 84.2825, 88.1532, 548.898944, 775870
2428.42, 188.518, 84.277, 88.1587, 642.429632, 775879
2428.39, 188.373, 84.373, 88.1832, 735.406304, 775888
2428.39, 188.384, 84.3516, 88.175, 827.808832, 775898
2428.4, 188.376, 84.3752, 88.1718, 920.333312, 775907
2428.42, 188.497, 84.2868, 88.1535, 1012.502208, 775915
2422.47, 188.477, 84.058, 88.0134, 1104.908032, 775925
2408.02, 188.368, 84.5947, 88.1083, 1195.596768, 775934
2389.11, 188.393, 84.9798, 87.8826, 1284.959264, 775943
2364.73, 188.408, 85.4299, 88.0087, 1382.027360, 775953
2338.87, 188.367, 86.0333, 87.9862, 1477.662336, 775963
2312.05, 188.757, 86.2968, 88.0355, 1578.501088, 775973
2285.01, 188.654, 86.4937, 87.9966, 1680.223904, 775983
2258.27, 188.364, 87.2132, 87.935, 1785.461248, 775993
2227.61, 188.502, 87.6174, 88.0371, 1890.236384, 776004
2200.34, 188.181, 88.3368, 88.1591, 1996.920128, 776014
2170.37, 188.249, 88.5971, 88.2539, 2103.289216, 776025
2140.46, 187.741, 88.9307, 88.2314, 2209.562720, 776036
2110.13, 187.68, 89.346, 88.3362, 2317.521856, 776047
2082.69, 187.711, 89.7663, 88.3786, 2424.260800, 776057
2058.15, 186.856, 90.4947, 88.4263, 2513.046976, 776066
2027.55, 186.711, 90.79, 88.7595, 2622.985568, 776077
1998.09, 186.161, 91.2067, 88.714, 2730.469024, 776088
1967.43, 185.612, 91.7433, 89.0315, 2838.981824, 776099
1937.26, 185.127, 92.226, 89.09, 2950.234208, 776110
1910.25, 184.327, 92.442, 88.9768, 3055.708576, 776120
1880.27, 183.844, 92.9596, 88.959, 3163.240288, 776131
