X [mm], Y [mm], Z [mm], Heading [degrees], Timestamp [ms], Frame
2367.08, 155.833, 100.255, -155.741, 60.295040, 782202
2367.02, 155.83, 100.298, -155.7, 150.807552, 782211
2367.07, 155.831, 100.254, -155.732, 247.559904, 782221
2367.1, 155.821, 100.245, -155.756, 348.727104, 782231
2367.1, 155.802, 100.254, -155.754, 443.710944, 782240
2367.06, 155.828, 100.248, -155.734, 537.351328, 782250
2367.11, 155.802, 100.204, -155.778, 630.156160, 782259
2368.91, 149.418, 98.1664, -158.544, 721.703968, 782268
2363.01, 133.281, 99.0133, -158.389, 812.563072, 782277
2354.57, 109.239, 99.1771, -158.37, 904.529792, 782287
2345.9, 84.341, 99.2907, -158.442, 995.668320, 782296
2336.6, 57.3586, 99.4516, -158.651, 1085.910112, 782305
2326.94, 29.4349, 99.9103, -158.52, 1176.940864, 782314
2318.3, 4.85297, 100.208, -158.484, 1257.406848, 782322
2305.86, -29.9252, 100.45, -158.271, 1365.628320, 782333
2294.5, -61.4336, 100.824, -158.379, 1471.648448, 782343
2282.31, -96.9678, 100.491, -158.585, 1578.361760, 782354
2265.65, -131.801, 102.898, -156.023, 1686.934624, 782365
2254.57, -163.452, 103.261, -155.996, 1793.014624, 782375
2248.55, -215.115, 86.1647, 158.321, 1904.059072, 782387
2238.25, -244.726, 86.5383, 158.42, 2015.236416, 782398
2230.05, -268.361, 86.9242, 158.439, 2123.300832, 782408
2220.27, -278.334, 101.381, -158.237, 2230.592320, 782419
2210.99, -304.351, 101.544, -158.055, 2336.700640, 782430
2201.31, -332.312, 101.737, -158.09, 2444.059200, 782441
2194.1, -353.088, 101.927, -158.037, 2524.875648, 782449
2181.86, -382.317, 103.527, -156.731, 2634.319648, 782460
2176.08, -424.149, 88.4234, 158.73, 2741.455136, 782470
2162.19, -438.711, 104.273, -156.871, 2847.279872, 782481
2156, -483.256, 88.764, 158.827, 2954.394976, 782492
2146.96, -510.33, 89.1643, 158.971, 3057.829664, 782502
2133.07, -524.659, 105.053, -156.915, 3164.812224, 782513
2125.98, -551.737, 104.024, -158.456, 3272.961024, 782523
2113.18, -581.379, 106.456, -156.598, 3379.872768, 782534
2103.77, -610.88, 106.167, -157.015, 3486.140160, 782545
2096.69, -638.066, 105.032, -158.693, 3589.756544, 782555
2089.79, -682.38, 90.7464, 158.827, 3696.364128, 782566
2079.45, -689.364, 105.794, -158.587, 3776.124416, 782574
2069.29, -718.846, 106.021, -158.839, 3888.022688, 782585
2061.84, -760.559, 91.9347, 159.111, 3992.633024, 782595
2052.12, -789.89, 92.3195, 159.089, 4097.338624, 782606
2044.36, -816.954, 92.621, 159.212, 4203.848832, 782616
