X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Timestamp [ms], Frame
942.967, 1546.73, 113.219, 154.943, 0.352447, 0.501852, 120.693066, 3615
942.968, 1546.73, 113.222, 154.94, 0.361983, 0.522066, 228.215314, 3626
942.978, 1546.74, 113.219, 154.944, 0.358571, 0.512096, 342.300939, 3637
942.949, 1546.74, 113.22, 154.94, 0.357205, 0.519011, 451.012202, 3648
932.664, 1524.92, 113.21, 155.936, 0.365899, 0.601109, 576.967279, 3661
911.418, 1475.26, 113.083, 155.288, 0.229186, 0.597981, 700.858883, 3673
902.696, 1448.15, 113.456, 156.362, 0.625572, 1.25011, 823.123042, 3685
901.039, 1444.42, 113.409, 156.918, 0.586707, 1.1937, 930.351852, 3696
901.03, 1444.44, 113.382, 156.92, 0.584084, 1.18123, 1037.250616, 3707
901.036, 1444.45, 113.383, 156.92, 0.583827, 1.18335, 1144.144643, 3718
901.026, 1444.45, 113.38, 156.923, 0.578523, 1.17445, 1250.586451, 3728
901.034, 1444.46, 113.367, 156.926, 0.581309, 1.17339, 1357.522046, 3739
901.028, 1444.45, 113.379, 156.926, 0.58277, 1.18543, 1460.299847, 3749
901.018, 1444.46, 113.379, 156.923, 0.581176, 1.1728, 1574.635935, 3761
901.031, 1444.45, 113.371, 156.925, 0.580039, 1.17021, 1703.063410, 3773
901.033, 1444.47, 113.374, 156.926, 0.576603, 1.16498, 1829.180950, 3786
901.047, 1444.45, 113.365, 156.924, 0.585095, 1.1815, 1952.117105, 3798
901.041, 1444.44, 113.368, 156.921, 0.580395, 1.17981, 2073.717333, 3810
901.046, 1444.45, 113.362, 156.923, 0.581434, 1.17181, 2193.640516, 3822
901.028, 1444.45, 113.363, 156.921, 0.590086, 1.18996, 2314.608333, 3835
901.038, 1444.45, 113.37, 156.92, 0.585262, 1.19127, 2433.322597, 3846
900.89, 1444.35, 113.438, 157.005, 0.491241, 1.19027, 2551.969246, 3858
887.837, 1416.16, 113.285, 156.417, 0.567807, 1.07658, 2670.078138, 3870
864.42, 1361.63, 113.357, 155.314, 0.349655, 1.14496, 2787.639035, 3882
847.904, 1320.6, 113.688, 155.647, 0.251011, 1.46702, 2889.063662, 3892
838.967, 1294.28, 113.705, 156.693, 0.277662, 1.55706, 3002.274925, 3903
837.08, 1287.68, 113.885, 157.221, 0.250908, 1.5783, 3113.951095, 3914
837.296, 1287.78, 113.812, 157.313, 0.239548, 1.61371, 3221.128705, 3925
837.131, 1287.63, 113.879, 157.236, 0.204692, 1.63557, 3326.320377, 3936
838.793, 1287.68, 113.805, 163.082, 0.14353, 1.54616, 3432.361259, 3946
841.574, 1286.94, 113.782, 175.985, 0.00312796, 1.54329, 3532.657125, 3956
846.278, 1285.52, 113.255, -162.329, 0.340066, 1.47753, 3659.712867, 3969
846.925, 1284.26, 113.627, -155.887, 0.0457226, 1.59786, 3784.890637, 3982
850.732, 1276.98, 113.42, -155.505, 0.115105, 1.57527, 3905.750679, 3992
868.565, 1242.33, 113.073, -155.712, 0.102966, 1.61839, 4040.872347, 4007
892.227, 1194.93, 112.218, -156.133, 0.0294014, 1.56776, 4162.568318, 4019
919.258, 1139.69, 111.573, -156.568, 0.0671626, 1.77328, 4280.547004, 4031
948.465, 1086.2, 110.567, -150.563, 0.181821, 1.85364, 4393.895770, 4043
974.623, 1052.33, 108.754, -138.096, 0.904655, 0.739713, 4502.367547, 4053
1004.16, 1022.56, 108.204, -125.524, 1.07793, 0.895417, 4610.630909, 4064
1036.84, 1004.51, 107.196, -115.533, 0.636505, 1.35618, 4718.560353, 4075
1067.21, 991.109, 106.53, -109.967, 0.633012, 1.39155, 4825.908586, 4086
1097.73, 980.616, 105.725, -108.9, 0.636472, 1.43744, 4938.978538, 4097
1133.48, 970.378, 104.395, -108.741, 0.656405, 1.71793, 5056.674186, 4109
1178.01, 956.824, 103.106, -108.912, 0.564473, 1.61015, 5185.860920, 4122
1218.97, 943.961, 102.146, -108.873, 0.597714, 1.67097, 5300.915626, 4133
1266.39, 927.34, 100.807, -113.419, 0.591649, 1.45661, 5422.746317, 4145
1313.38, 904.887, 99.8086, -122.555, 0.530365, 1.47154, 5535.659726, 4157
1347.43, 880.184, 98.9672, -133.134, 0.556877, 1.13727, 5640.319210, 4167
1382.85, 847.535, 98.5483, -141.426, 0.069357, 1.63907, 5753.693480, 4179
1407.46, 820.08, 97.909, -142.734, -0.0019675, 1.55591, 5868.094975, 4190
1430.2, 792.517, 97.3497, -142.816, -0.0562292, 1.51056, 5981.703035, 4201
1454.54, 762.901, 96.7732, -142.681, 0.0564842, 1.43733, 6105.107954, 4213
1478.64, 733.495, 96.0351, -142.824, -0.0122372, 1.48533, 6222.925681, 4225
1500.33, 706.95, 95.387, -142.937, -0.155865, 1.3921, 6338.329761, 4236
1523.69, 677.939, 94.7354, -143.172, 0.032656, 1.50545, 6448.646612, 4248
1545.23, 650.846, 94.2013, -143.175, 0.0931073, 1.24441, 6556.343483, 4259
1567.38, 623.679, 93.7763, -143.097, 0.0551288, 1.31115, 6666.933581, 4270
1589.55, 596.374, 93.0547, -143.228, 0.0314975, 1.34134, 6775.052592, 4281
1609.48, 572.053, 92.396, -142.989, 0.210035, 1.32309, 6878.342613, 4291
1631.26, 544.568, 91.9088, -143.363, -0.0718556, 1.35594, 6983.923466, 4302
1653.26, 517.019, 91.4699, -143.195, 0.168736, 1.32548, 7097.937412, 4313
1676.69, 487.962, 90.9648, -143.066, 0.109625, 1.02897, 7208.344983, 4324
1699.8, 456.678, 90.2364, -149.024, 0.113788, 1.20335, 7315.054980, 4335
1715.93, 425.193, 89.7298, -160.259, 0.0553216, 1.11419, 7417.503152, 4345
1730.1, 389.92, 89.5656, -167.305, -0.0547583, 1.00426, 7520.595095, 4355
1741.52, 351.05, 89.1093, -168.732, 0.0165602, 1.08886, 7622.651941, 4365
1752.12, 307.242, 88.4224, -168.973, 0.0730952, 1.05214, 7725.672524, 4376
1762.55, 262.873, 88.1276, -168.85, 0.183888, 0.996915, 7834.363691, 4387
1774.83, 210.364, 87.9086, -169.092, 0.53925, 1.02733, 7965.933769, 4400
1784.75, 167.508, 87.4104, -169.036, 0.475426, 0.983914, 8084.385155, 4411
1795.34, 120.054, 86.5271, -169.054, 0.539806, 0.994187, 8202.822141, 4423
1803.93, 75.9119, 85.6089, -175.147, 0.646009, 0.41093, 8310.236869, 4434
1807.85, 29.3087, 85.0441, 178.984, 0.628366, 0.297367, 8424.142336, 4445
1809.55, -20.9041, 84.758, 177.944, 0.722314, 0.535362, 8542.085374, 4457
1809.42, -64.6382, 84.068, 178.038, 0.670158, 0.646956, 8650.284960, 4468
1809.7, -114.253, 82.9883, 178.196, 0.281376, 0.0657294, 8766.200204, 4480
1808.47, -153.627, 82.2331, 171.476, -0.135288, -0.461695, 8883.960267, 4490
1799.65, -204.204, 82.4138, 162.295, -0.0779124, -0.0919619, 8999.244316, 4503
1785.95, -254.716, 82.9121, 161.235, -0.14035, 0.274217, 9116.223233, 4515
1772.54, -298.743, 82.8973, 161.102, -0.202403, 0.418372, 9224.131077, 4526
1758.57, -342.728, 83.2764, 158.056, 0.0402999, 0.485467, 9336.977895, 4537
1738.97, -385.498, 83.1844, 147.108, -0.594134, 0.404486, 9459.480197, 4549
1713.35, -423.619, 84.0377, 140.194, -0.349816, 0.866592, 9579.835505, 4560
1675.92, -471.88, 84.2704, 138.895, -0.466972, 0.475421, 9699.180453, 4573
1639.71, -515.412, 84.2112, 138.818, -1.24146, 0.114853, 9815.157937, 4585
1602.54, -560.611, 85.1505, 139.035, -1.18914, 0.102879, 9939.906207, 4597
1562.08, -611.012, 86.3805, 139.45, -0.989146, 0.114403, 10071.364061, 4610
1525.32, -656.48, 87.2231, 139.588, -1.09129, 0.274352, 10188.776030, 4622
1492.21, -698.916, 88.0013, 140.017, -1.06208, 0.638036, 10296.671747, 4633
1458.48, -741.778, 88.9354, 140.334, -1.01197, 0.539129, 10404.058924, 4644
1430.62, -783.496, 87.9336, 142.425, 0.430824, 0.288189, 10510.124637, 4654
1397.75, -826.733, 88.7017, 142.792, 0.552867, 0.445756, 10621.353547, 4665
1364.64, -870.364, 89.6045, 143.077, 0.648414, 0.189389, 10730.119273, 4676
1332.29, -914.065, 90.3362, 143.343, 0.866905, 0.525035, 10839.540739, 4687
1299.96, -957.787, 90.7963, 143.971, 0.625189, 0.505251, 10945.237880, 4698
1267.89, -1002.27, 91.4328, 144.209, 0.711916, 0.292423, 11056.027976, 4709
1236.07, -1047.28, 92.1117, 144.475, 1.00327, 0.400008, 11170.122209, 4720
1201.64, -1096.21, 92.3935, 144.871, 0.751717, 0.45903, 11285.869103, 4732
1171.45, -1141.95, 92.4749, 145.802, 1.29871, 0.47596, 11394.700749, 4743
1141.9, -1181.97, 93.6163, 145.33, 0.748085, 0.464136, 11504.982689, 4753
1112.61, -1228.03, 93.0273, 146.34, 1.1125, 0.505723, 11612.061963, 4764
1083.18, -1272.81, 91.5764, 146.638, 2.60399, 0.738203, 11718.434843, 4775
1045.03, -1313.59, 92.3288, 141.318, 3.97233, 2.58195, 11829.676712, 4786
1021.33, -1358.6, 96.2547, 144.783, 1.00755, 2.40172, 11935.559899, 4797
992.692, -1404.44, 93.6515, 146.865, 2.44123, 0.716071, 12045.269555, 4808
965.189, -1444.59, 93.7716, 143.312, 2.43441, 0.620004, 12151.906433, 4818
937.582, -1478.59, 96.7432, 133.897, 0.734861, 0.635805, 12261.463162, 4828
901.511, -1503.56, 95.3516, 117.164, 2.71529, -0.51323, 12370.210233, 4840
862.374, -1517.96, 100.554, 107.888, -0.597264, 1.37838, 12484.125811, 4852
824.197, -1531.56, 100.87, 106.639, -0.347511, 1.17044, 12599.683138, 4863
782.419, -1545.1, 102.125, 106.412, -0.559053, 1.19195, 12713.940666, 4875
736.135, -1560.42, 103.152, 106.746, -0.73878, 1.41172, 12848.647969, 4888
693.308, -1575.8, 98.5188, 107.221, 3.04308, -1.91916, 12969.349131, 4900
650.38, -1590.32, 99.166, 107.503, 3.10028, -1.98361, 13087.173802, 4912
614.516, -1603, 101.511, 107.027, 1.91481, -1.06044, 13198.366039, 4922
571.426, -1617.16, 101.225, 107.646, 2.84135, -1.95208, 13306.236892, 4934
535.921, -1628.01, 102.143, 104.355, 2.56486, -1.93762, 13413.793924, 4944
498.515, -1635.36, 106.864, 94.3306, -0.0537132, 0.797476, 13519.056699, 4955
459.749, -1637.82, 108.209, 87.8518, -0.706016, 1.14499, 13626.132774, 4966
426.131, -1637.98, 108.405, 86.9164, -0.763116, 1.16882, 13729.348652, 4975
380.808, -1637.21, 109.39, 86.8779, -0.632178, 1.20155, 13843.219846, 4987
335.083, -1636.12, 110.119, 87.1206, -0.527626, 1.17623, 13963.483252, 4999
291.053, -1632.06, 111.191, 77.4287, -0.699897, 1.54044, 14088.771870, 5012
251.474, -1622.43, 111.937, 69.8959, -0.575961, 1.79278, 14198.351222, 5023
207.767, -1607.93, 112.76, 69.0388, -0.623733, 1.8177, 14305.642368, 5034
167.118, -1593.34, 113.756, 68.9367, -0.700652, 1.9946, 14408.805094, 5044
126.418, -1579.24, 114.778, 68.8931, -0.642421, 2.00419, 14509.844315, 5054
76.9575, -1562.23, 115.845, 69.4079, -0.498472, 1.9808, 14627.299068, 5066
30.3375, -1551.25, 114.909, 61.4402, -0.281588, 0.992484, 14744.386624, 5078
-2.64922, -1527.88, 116.801, 46.0794, -0.568965, 2.22065, 14859.251060, 5089
-31.5373, -1499.95, 117.95, 37.8431, -0.817774, 2.72075, 14963.517202, 5099
-61.5058, -1464.36, 118.884, 36.5479, -0.702668, 2.67192, 15070.563229, 5110
-93.9072, -1424.24, 119.849, 36.2603, -0.521912, 2.57899, 15185.254450, 5122
-128.659, -1380.25, 120.785, 36.6348, -0.517859, 2.67937, 15316.820495, 5135
-157.681, -1340.16, 122.358, 27.9811, -0.707779, 2.91477, 15442.953011, 5147
-179.646, -1303.68, 122.749, 15.2456, -0.0866391, 2.90456, 15554.546622, 5159
-192.168, -1270.88, 123.719, 10.3235, 0.113518, 2.32326, 15663.675130, 5169
-199.191, -1242.23, 123.955, 9.48708, -0.0331854, 2.7144, 15768.135575, 5179
-205.15, -1212.07, 124.164, 9.40759, 0.200302, 2.55642, 15870.752929, 5190
-211.588, -1180.05, 124.616, 9.33129, 0.107198, 2.64766, 15985.477110, 5202
-218.672, -1147.52, 124.778, 9.51351, 0.262595, 2.4097, 16115.506430, 5215
-226.674, -1122.97, 126.003, 20.5632, 0.346984, 2.28905, 16231.872999, 5226
-237.122, -1100.33, 125.691, 31.2257, -0.419223, 2.76872, 16346.287742, 5238
-250.715, -1077.83, 126.282, 32.4631, -0.244397, 2.6021, 16450.981786, 5248
-269.591, -1049.9, 126.715, 32.443, -0.653571, 2.88416, 16565.274161, 5259
-293.964, -1014.21, 127.493, 32.672, -0.546648, 2.71966, 16687.176115, 5272
-317.012, -980.916, 128.508, 32.8688, -0.561777, 2.91153, 16811.925313, 5284
-340.361, -947.067, 129.151, 33.1319, -0.384248, 2.72285, 16933.804322, 5296
-362.141, -916.644, 129.732, 33.0095, -0.257935, 2.62654, 17040.560495, 5307
-383.865, -885.503, 130.462, 33.3137, -0.483651, 2.84755, 17145.452233, 5318
-403.689, -857.07, 130.838, 33.4839, -0.62233, 2.73759, 17253.971946, 5328
-425.771, -825.652, 132.209, 33.609, -0.480732, 3.01346, 17358.274184, 5339
-448.298, -795.096, 131.184, 34.0325, -1.12444, 1.96705, 17468.732411, 5350
-471.079, -764.083, 131.754, 33.7391, -0.942851, 1.77285, 17578.534802, 5361
-491.783, -729.679, 137.22, 32.3201, -0.266123, 4.98517, 17688.652103, 5372
-517.19, -702.594, 135.435, 34.9637, -1.73039, 3.74498, 17800.156755, 5383
-542.229, -669.978, 136.355, 34.6519, 0.786852, 1.69449, 17916.174046, 5395
