X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1669.3, -157.252, 95.0639, 87.5129, 3.35446, 1.33598, image00001.jpg, 134.870976, 218352, 358.187500, -2.625000, -4.375000
1668.95, -157.2, 94.9888, 87.6029, 2.73689, 1.38662, image00002.jpg, 263.660096, 218371, 358.187500, -2.625000, -4.375000
1655.85, -156.909, 95.2775, 87.6157, 2.63675, 1.2277, image00003.jpg, 392.061792, 218384, 358.187500, -2.687500, -4.437500
1623.63, -156.536, 95.8488, 87.5295, 2.67901, 1.1655, image00004.jpg, 524.313312, 218397, 358.250000, -2.750000, -4.312500
1577.73, -155.592, 96.2423, 87.448, 2.29738, 1.09211, image00005.jpg, 657.024832, 218411, 358.437500, -2.875000, -4.437500
1531.19, -155.119, 97.3098, 88.5439, 1.45567, 0.778099, image00006.jpg, 789.236864, 218424, 358.250000, -2.750000, -4.375000
1488.8, -162.513, 98.0484, 103.744, 1.69409, 1.52256, image00007.jpg, 924.930976, 218437, 342.812500, -1.437500, -4.562500
1441, -173.363, 97.9306, 108.255, 2.37266, 2.12587, image00008.jpg, 1056.467200, 218451, 338.000000, -1.000000, -4.562500
1393.39, -190.696, 99.0923, 108.548, 1.90685, 1.83566, image00009.jpg, 1192.901888, 218464, 337.375000, -1.125000, -4.562500
1352.47, -206.238, 99.8737, 108.847, 1.23033, 1.47329, image00010.jpg, 1324.923968, 218475, 337.062500, -1.125000, -4.687500
1314.99, -220.675, 99.8667, 108.58, 1.98532, 2.07254, image00011.jpg, 1457.600064, 218485, 336.937500, -1.000000, -4.750000
1277.65, -234.919, 100.505, 108.769, 1.68243, 1.91356, image00012.jpg, 1592.952352, 218495, 336.937500, -0.875000, -4.625000
1200.2, -261, 102.274, 100.126, 1.52728, 1.26125, image00013.jpg, 1724.582720, 218516, 345.312500, -1.562500, -4.812500
1162.21, -268.908, 102.708, 95.846, 1.96968, 1.46138, image00014.jpg, 1856.285696, 218526, 349.875000, -1.750000, -4.750000
1123.52, -274.965, 103.283, 95.1012, 1.80108, 1.60045, image00015.jpg, 1992.651264, 218536, 350.625000, -1.812500, -4.812500
1084.58, -280.015, 104.012, 95.0159, 1.80898, 1.54571, image00016.jpg, 2124.801472, 218546, 350.625000, -1.750000, -4.812500
1005.59, -289.455, 105.745, 93.8717, 1.69433, 1.47223, image00017.jpg, 2260.650912, 218566, 352.000000, -1.812500, -4.687500
965.324, -293.706, 106.004, 93.5799, 1.93371, 1.70096, image00018.jpg, 2392.216672, 218576, 351.875000, -2.000000, -4.937500
920.641, -298.202, 106.796, 93.9174, 1.61421, 1.30976, image00019.jpg, 2524.821344, 218587, 351.562500, -2.000000, -4.875000
836.426, -306.972, 108.366, 94.2146, 1.81865, 1.3734, image00020.jpg, 2659.974304, 218608, 351.500000, -1.937500, -4.750000
796.357, -310.999, 109.253, 94.2699, 1.39746, 1.43853, image00021.jpg, 2792.748000, 218618, 351.437500, -1.812500, -4.937500
