X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
655.945, -1333.36, 111.877, 121.024, 2.56244, 3.41147, image00001.jpg, 135.530272, 902846, 321.000000, -1.687500, -5.000000
656.043, -1333.03, 112.474, 121.26, 1.86101, 2.84101, image00002.jpg, 236.957632, 902862, 321.000000, -1.750000, -5.000000
639.922, -1341.32, 112.708, 120.57, 1.4916, 2.56564, image00003.jpg, 368.036288, 902874, 321.750000, -1.812500, -5.062500
597.176, -1366.23, 115.668, 120.776, 0.674345, 2.65691, image00004.jpg, 497.393856, 902888, 321.687500, -1.125000, -5.562500
559.065, -1390.96, 120.404, 121.402, -0.376144, 6.07263, image00005.jpg, 628.220320, 902901, 321.125000, 2.062500, -4.875000
513.703, -1421.07, 123.517, 121.897, -1.97434, 8.1138, image00006.jpg, 760.121920, 902915, 321.000000, 4.625000, -4.750000
477.466, -1442.99, 128.837, 122.129, -3.35535, 10.2354, image00007.jpg, 890.848096, 902928, 320.687500, 7.250000, -4.875000
447.3, -1462.55, 133.479, 122.232, -2.76665, 8.49015, image00008.jpg, 1023.647872, 902941, 320.500000, 5.562500, -5.500000
419.955, -1480.61, 134.293, 122.46, -2.08557, 7.0116, image00009.jpg, 1154.260416, 902954, 320.375000, 3.875000, -5.625000
413.421, -1486.52, 134.703, 122.498, -1.93397, 6.59563, image00010.jpg, 1284.034048, 902958, 320.125000, 1.875000, -5.125000
365.662, -1519.45, 136.209, 122.721, 1.49959, 2.49346, image00011.jpg, 1414.853568, 902979, 319.875000, -1.687500, -5.062500
338.934, -1536.27, 136.17, 122.829, 3.77636, 0.037254, image00012.jpg, 1546.248160, 902989, 319.437500, -6.437500, -5.500000
314.185, -1555, 135.618, 123.486, 5.20679, -3.71646, image00013.jpg, 1675.880960, 902999, 319.000000, -10.125000, -4.937500
288.275, -1574.47, 132.829, 124.006, 7.47269, -5.69682, image00014.jpg, 1805.635840, 903009, 318.625000, -10.812500, -5.437500
243.685, -1604.93, 130.241, 124.087, 5.87054, -4.41273, image00015.jpg, 1935.835584, 903030, 318.500000, -9.250000, -5.437500
225.131, -1618.12, 128.22, 124.11, 4.25331, -3.03439, image00016.jpg, 2066.107808, 903040, 318.437500, -6.812500, -5.312500
205.401, -1632.11, 126.054, 123.938, 4.38479, -0.841067, image00017.jpg, 2196.005088, 903050, 318.375000, -4.687500, -5.375000
184.629, -1647.92, 124.353, 124.198, 2.60896, -0.439322, image00018.jpg, 2326.537376, 903061, 318.312500, -2.437500, -5.187500
