X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
-1109.26, 716.336, 143.104, -61.7905, -1.03583, 0.187034, image00001.jpg, 134.116896, 881495, 222.375000, -2.125000, -3.562500
-1109.61, 716.421, 142.964, -61.6939, -1.09922, 0.171222, image00002.jpg, 235.354528, 881505, 222.375000, -2.187500, -3.687500
-1109.6, 716.471, 142.959, -61.6903, -1.09239, 0.176097, image00003.jpg, 335.913856, 881515, 222.375000, -2.250000, -3.750000
-1109.6, 716.459, 142.959, -61.6928, -1.10217, 0.168761, image00004.jpg, 436.068800, 881526, 222.375000, -2.312500, -3.875000
-1109.6, 716.457, 142.967, -61.6912, -1.09672, 0.169011, image00005.jpg, 536.078560, 881536, 222.375000, -2.375000, -3.937500
-1109.55, 716.429, 142.977, -61.6933, -1.0919, 0.174019, image00006.jpg, 667.312480, 881546, 222.437500, -2.375000, -4.000000
-1096.25, 723.679, 142.485, -61.8806, -1.19315, -0.0859683, image00007.jpg, 796.729312, 881566, 222.500000, -2.312500, -4.000000
-1081.22, 731.14, 143.698, -61.5613, -0.405071, -0.671575, image00008.jpg, 897.196032, 881576, 222.375000, -1.562500, -4.187500
-1057.68, 744.898, 144.583, -61.3865, -0.389551, -1.59423, image00009.jpg, 1030.078464, 881590, 222.125000, -0.687500, -4.000000
-1034.08, 759.198, 146.081, -61.2286, 0.209477, -2.85316, image00010.jpg, 1161.819296, 881603, 222.000000, 0.500000, -3.750000
-1010.51, 772.438, 147.49, -61.2311, 0.776004, -4.04823, image00011.jpg, 1292.807008, 881615, 222.000000, 2.125000, -3.812500
-983.552, 787.908, 149.704, -61.2467, 1.76352, -5.77991, image00012.jpg, 1423.112160, 881629, 222.000000, 3.875000, -3.875000
-960.064, 802.331, 150.952, -60.9446, 2.70556, -7.7251, image00013.jpg, 1553.484768, 881642, 221.937500, 5.937500, -3.687500
-930.709, 815.784, 152.445, -60.4912, 3.98332, -6.41953, image00014.jpg, 1683.296544, 881655, 221.500000, 6.000000, -5.312500
-902.478, 834.697, 154.997, -60.9751, 2.44719, -5.48486, image00015.jpg, 1814.351392, 881668, 221.875000, 4.562500, -4.500000
-871, 853.41, 155.518, -60.9507, 1.15363, -4.11493, image00016.jpg, 1943.865792, 881681, 221.687500, 2.625000, -4.312500
-837.952, 873.802, 156.351, -60.7256, -0.363762, -1.51117, image00017.jpg, 2074.773952, 881694, 221.437500, 0.000000, -4.000000
-798.541, 897.973, 155.03, -60.0217, -3.11717, 3.24447, image00018.jpg, 2204.904000, 881707, 220.812500, -5.187500, -4.125000
-755.68, 928.159, 152.522, -59.1995, -6.99911, 7.08712, image00019.jpg, 2335.130208, 881720, 220.250000, -10.687500, -3.062500
-717.814, 947.95, 147.151, -59.0252, -6.12058, 7.20928, image00020.jpg, 2464.694144, 881733, 219.937500, -10.625000, -4.312500
-684.12, 969.519, 144.367, -58.9802, -4.72315, 5.71697, image00021.jpg, 2594.841312, 881746, 219.812500, -8.750000, -4.125000
-652.277, 990.104, 139.777, -59.1069, -3.25396, 2.81584, image00022.jpg, 2724.744640, 881759, 219.750000, -5.812500, -3.937500
-619.517, 1012.82, 136.972, -59.0205, -2.41512, 0.0649411, image00023.jpg, 2855.978336, 881772, 219.687500, -3.000000, -3.312500
-583.255, 1034.91, 133.871, -58.6265, -1.49595, -0.178508, image00024.jpg, 2986.782720, 881785, 219.312500, -2.125000, -3.875000
-542.326, 1061.28, 133.204, -58.3965, -1.31642, -0.134328, image00025.jpg, 3117.361184, 881798, 219.062500, -2.000000, -3.812500
-508.003, 1084.37, 132.5, -58.0778, -1.5536, -0.00202113, image00026.jpg, 3247.405600, 881810, 218.687500, -2.187500, -3.812500
