X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
139.385, -3.80523, 119.362, 81.1312, 1.99284, 0.98129, image00001.jpg, 138.123680, 913329, 349.312500, -1.875000, -5.000000
137.686, -3.64836, 118.469, 81.2826, -0.192143, 1.40427, image00002.jpg, 269.987552, 913343, 349.312500, -1.875000, -5.000000
122.123, -1.0572, 119.461, 80.3897, 2.37759, 0.904317, image00003.jpg, 402.293952, 913356, 350.000000, -2.000000, -4.937500
92.7563, 3.62513, 121.327, 80.2091, 2.22603, 1.21489, image00004.jpg, 534.066144, 913369, 350.000000, -1.750000, -5.250000
66.8504, 7.07572, 124.971, 80.73, 2.10195, 3.79683, image00005.jpg, 663.454944, 913382, 349.812500, 0.750000, -5.062500
37.1693, 10.5141, 128.418, 80.6023, 2.63024, 5.73541, image00006.jpg, 795.034848, 913395, 349.875000, 2.625000, -5.000000
7.51369, 14.274, 131.736, 80.4473, 3.11748, 8.22178, image00007.jpg, 926.418976, 913408, 349.875000, 5.062500, -4.937500
-24.4013, 17.9553, 134.215, 80.5287, 3.21395, 10.0863, image00008.jpg, 1057.619616, 913421, 349.937500, 7.000000, -4.750000
-62.3169, 23.6168, 137.993, 80.7604, 2.88272, 10.1916, image00009.jpg, 1193.682336, 913435, 349.750000, 7.437500, -5.250000
-101.063, 27.6286, 142, 81.225, 2.3565, 7.03732, image00010.jpg, 1324.610176, 913448, 349.437500, 4.375000, -4.875000
-144.217, 33.7822, 143.504, 81.4068, 1.92837, 2.84002, image00011.jpg, 1456.736288, 913461, 349.187500, 0.187500, -5.437500
-195.052, 39.468, 144.246, 81.9345, 1.17585, -2.61084, image00012.jpg, 1592.936384, 913475, 348.750000, -4.812500, -5.687500
-231.991, 41.2601, 143.794, 81.9445, 2.09915, -5.26464, image00013.jpg, 1693.613664, 913485, 348.625000, -7.812500, -4.750000
-267.362, 45.6952, 141.898, 81.857, 1.836, -6.70068, image00014.jpg, 1793.858400, 913495, 348.625000, -9.250000, -4.750000
-310.808, 50.9686, 137.18, 82.1955, 1.19777, -5.96512, image00015.jpg, 1925.667712, 913508, 348.500000, -9.125000, -5.250000
-349.746, 55.1146, 134.668, 81.9697, 1.72191, -3.76049, image00016.jpg, 2055.599392, 913521, 348.500000, -6.500000, -5.000000
-390.267, 59.454, 132.814, 82.0677, 1.94404, -2.10412, image00017.jpg, 2185.159904, 913534, 348.375000, -4.812500, -5.000000
-431.721, 63.2796, 131.177, 82.2102, 1.87044, -0.237221, image00018.jpg, 2315.118816, 913547, 348.250000, -3.625000, -4.937500
